Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
0.000000e+000,2.999941e+002,1.690001e-006,-1.351782e-001
5.000000e+001,3.000012e+002,2.733106e-006,-3.095035e-002
1.000000e+002,3.000012e+002,3.543369e-006,-2.408165e-002
2.000000e+002,3.000012e+002,5.246490e-006,2.417114e-004
3.000000e+002,3.000012e+002,6.306847e-006,-2.025110e-003
4.000000e+002,3.000012e+002,6.983252e-006,6.668851e-003
5.000000e+002,2.999977e+002,7.654383e-006,-2.628663e-003
6.000000e+002,3.000012e+002,7.887626e-006,-3.027197e-003
7.000000e+002,3.000012e+002,7.820685e-006,4.262002e-003
8.000000e+002,3.000012e+002,7.624440e-006,9.169708e-003
9.000000e+002,3.000012e+002,7.265869e-006,1.703845e-002
1.000000e+003,2.999941e+002,6.680673e-006,2.888473e-002
1.250000e+003,3.000012e+002,4.204848e-006,9.066895e-002
1.500000e+003,3.000012e+002,1.495852e-006,7.344280e-001
1.750000e+003,2.999941e+002,-3.957414e-006,-3.633751e-001
2.000000e+003,2.999977e+002,-8.212699e-006,-2.186983e-001
3.000000e+003,2.999977e+002,-3.007922e-005,-1.302278e-001
4.000000e+003,3.000012e+002,-5.477098e-005,-1.023921e-001
5.000000e+003,2.999941e+002,-8.103128e-005,-9.970417e-002
6.000000e+003,3.000012e+002,-1.080195e-004,-9.169674e-002
7.000000e+003,3.000012e+002,-1.356708e-004,-9.190813e-002
8.000000e+003,3.000012e+002,-1.628532e-004,-9.069930e-002
9.000000e+003,3.000012e+002,-1.910031e-004,-8.911014e-002
1.000000e+004,3.000012e+002,-2.193707e-004,-8.819650e-002
1.500000e+004,3.000012e+002,-3.614541e-004,-8.463043e-002
2.000000e+004,3.000012e+002,-5.050221e-004,-8.244596e-002
2.500000e+004,3.000012e+002,-6.479340e-004,-8.020753e-002
3.000000e+004,3.000012e+002,-7.917833e-004,-7.989234e-002
3.500000e+004,2.999977e+002,-9.350301e-004,-7.848611e-002
4.000000e+004,3.000012e+002,-1.078331e-003,-7.721481e-002
4.500000e+004,2.999977e+002,-1.221704e-003,-7.602297e-002
5.000000e+004,2.999977e+002,-1.367142e-003,-7.478473e-002
5.500000e+004,3.000012e+002,-1.510845e-003,-7.385552e-002
