Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1699957939.048,,0.000000e+000,2.999941e+002,1.690001e-006,1.461676e-008,-1.351782e-001,3.890681e-004,3,9.140491e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699958053.531,,5.000000e+001,3.000012e+002,2.733106e-006,5.966886e-008,-3.095035e-002,1.331061e-002,3,9.317680e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699958169.276,,1.000000e+002,3.000012e+002,3.543369e-006,1.538464e-008,-2.408165e-002,6.520328e-004,3,9.533949e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699958290.967,,2.000000e+002,3.000012e+002,5.246490e-006,5.806253e-008,2.417114e-004,4.824234e-003,3,9.645893e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699958411.937,,3.000000e+002,3.000012e+002,6.306847e-006,1.141327e-008,-2.025110e-003,6.458819e-003,3,9.674259e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699958534.128,,4.000000e+002,3.000012e+002,6.983252e-006,8.111545e-009,6.668851e-003,1.142765e-003,3,9.681868e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699958655.594,,5.000000e+002,2.999977e+002,7.654383e-006,2.691029e-008,-2.628663e-003,6.510264e-003,3,9.669023e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699958770.825,,6.000000e+002,3.000012e+002,7.887626e-006,7.511523e-009,-3.027197e-003,1.760018e-003,3,9.608508e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699958886.278,,7.000000e+002,3.000012e+002,7.820685e-006,1.536840e-008,4.262002e-003,3.539883e-003,3,9.613547e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699959007.719,,8.000000e+002,3.000012e+002,7.624440e-006,5.641070e-008,9.169708e-003,3.749584e-003,3,9.551190e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699959129.910,,9.000000e+002,3.000012e+002,7.265869e-006,1.214609e-008,1.703845e-002,7.706060e-003,3,9.536538e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699959252.351,,1.000000e+003,2.999941e+002,6.680673e-006,4.549359e-009,2.888473e-002,1.066572e-003,3,9.370984e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699959380.792,,1.250000e+003,3.000012e+002,4.204848e-006,1.352074e-008,9.066895e-002,7.286927e-004,3,8.638796e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699959503.776,,1.500000e+003,3.000012e+002,1.495852e-006,7.378070e-008,7.344280e-001,2.027386e-002,3,3.670472e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699959625.815,,1.750000e+003,2.999941e+002,-3.957414e-006,9.074923e-009,-3.633751e-001,6.746025e-003,3,8.468069e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699959754.006,,2.000000e+003,2.999977e+002,-8.212699e-006,1.010441e-007,-2.186983e-001,1.508287e-002,3,8.990375e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699959897.814,,3.000000e+003,2.999977e+002,-3.007922e-005,1.080026e-007,-1.302278e-001,7.896491e-003,3,9.526204e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699960031.005,,4.000000e+003,3.000012e+002,-5.477098e-005,1.419215e-008,-1.023921e-001,1.208013e-003,3,9.613190e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699960163.947,,5.000000e+003,2.999941e+002,-8.103128e-005,1.016628e-007,-9.970417e-002,9.164938e-004,3,9.644236e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699960297.691,,6.000000e+003,3.000012e+002,-1.080195e-004,2.056511e-007,-9.169674e-002,3.299587e-003,3,9.657485e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699960432.134,,7.000000e+003,3.000012e+002,-1.356708e-004,9.013828e-009,-9.190813e-002,1.184916e-003,3,9.675715e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699960553.825,,8.000000e+003,3.000012e+002,-1.628532e-004,1.664163e-007,-9.069930e-002,6.058083e-004,3,9.678844e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699960675.741,,9.000000e+003,3.000012e+002,-1.910031e-004,3.907021e-008,-8.911014e-002,1.775399e-003,3,9.687622e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699960796.932,,1.000000e+004,3.000012e+002,-2.193707e-004,1.738763e-007,-8.819650e-002,8.259413e-004,3,9.705743e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699960935.874,,1.500000e+004,3.000012e+002,-3.614541e-004,2.013706e-007,-8.463043e-002,1.400750e-004,3,9.711899e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699961082.542,,2.000000e+004,3.000012e+002,-5.050221e-004,7.543216e-007,-8.244596e-002,3.061020e-004,3,9.731137e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699961217.287,,2.500000e+004,3.000012e+002,-6.479340e-004,5.569229e-007,-8.020753e-002,1.161636e-003,3,9.720376e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699961353.268,,3.000000e+004,3.000012e+002,-7.917833e-004,1.955058e-008,-7.989234e-002,6.743601e-004,3,9.724132e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699961496.513,,3.500000e+004,2.999977e+002,-9.350301e-004,1.259466e-007,-7.848611e-002,1.944708e-004,3,9.722142e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699961641.247,,4.000000e+004,3.000012e+002,-1.078331e-003,3.305070e-007,-7.721481e-002,1.632453e-004,3,9.721043e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699961781.196,,4.500000e+004,2.999977e+002,-1.221704e-003,2.724728e-007,-7.602297e-002,3.212591e-004,3,9.725766e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699961921.937,,5.000000e+004,2.999977e+002,-1.367142e-003,3.292723e-009,-7.478473e-002,9.917680e-005,3,9.722701e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699962069.630,,5.500000e+004,3.000012e+002,-1.510845e-003,8.569315e-008,-7.385552e-002,1.142864e-004,3,9.721249e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699962213.129,,6.000000e+004,2.999977e+002,-1.650370e-003,5.169574e-008,-7.301950e-002,7.267697e-005,3,9.722553e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699962356.632,,6.500000e+004,3.000012e+002,-1.793478e-003,8.305896e-008,-7.229292e-002,1.249496e-004,3,9.722344e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699962502.575,,7.000000e+004,2.999977e+002,-1.935811e-003,5.663483e-008,-7.171996e-002,9.004147e-005,3,9.722855e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699962657.269,,6.500000e+004,3.000012e+002,-1.792066e-003,1.309681e-007,-7.198811e-002,1.215304e-004,3,9.723162e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699962825.212,,5.500000e+004,2.999977e+002,-1.505348e-003,2.568324e-008,-7.266432e-002,8.170166e-005,3,9.722911e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699962998.656,,4.500000e+004,2.999977e+002,-1.220073e-003,1.536055e-007,-7.332026e-002,1.552374e-003,3,9.731481e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699963175.634,,3.500000e+004,3.000012e+002,-9.333252e-004,5.399241e-007,-7.440276e-002,1.361765e-004,3,9.721522e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699963343.879,,2.500000e+004,2.999977e+002,-6.471586e-004,6.548403e-008,-7.447590e-002,3.762502e-004,3,9.729927e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699963503.370,,1.500000e+004,2.999977e+002,-3.604464e-004,2.615657e-008,-7.645383e-002,1.356918e-004,3,9.704055e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699963641.354,,1.000000e+004,3.000012e+002,-2.186530e-004,1.647082e-007,-7.800309e-002,1.882278e-003,3,9.696858e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699963768.512,,9.000000e+003,3.000012e+002,-1.904076e-004,8.012634e-008,-7.925057e-002,1.288851e-004,3,9.700235e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699963883.229,,8.000000e+003,2.999977e+002,-1.622236e-004,3.866891e-008,-7.957160e-002,8.181915e-004,3,9.690556e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699964011.170,,7.000000e+003,3.000012e+002,-1.348632e-004,2.060421e-007,-8.216257e-002,3.032018e-003,3,9.646992e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699964143.362,,6.000000e+003,3.000012e+002,-1.071847e-004,2.008561e-008,-8.264793e-002,2.304210e-003,3,9.642920e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699964276.309,,5.000000e+003,2.999941e+002,-8.029293e-005,1.318735e-007,-8.516508e-002,3.496782e-003,3,9.651150e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699964409.751,,4.000000e+003,2.999977e+002,-5.394637e-005,7.218780e-008,-9.657491e-002,4.316607e-003,3,9.578503e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699964543.443,,3.000000e+003,2.999977e+002,-2.910081e-005,1.238102e-007,-1.139256e-001,4.569429e-003,3,9.462085e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699964676.207,,2.000000e+003,3.000012e+002,-6.970447e-006,2.847819e-008,-2.230565e-001,2.334113e-003,3,8.533453e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699964798.148,,1.750000e+003,2.999941e+002,-2.720501e-006,1.536045e-007,-6.557696e-001,7.388747e-002,3,7.170911e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699964925.840,,1.500000e+003,3.000012e+002,3.186590e-006,2.021225e-007,1.837508e-001,2.396962e-002,3,7.352949e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699965048.060,,1.250000e+003,3.000012e+002,7.031735e-006,1.264676e-007,5.080688e-002,1.596121e-002,3,9.186213e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699965169.751,,1.000000e+003,3.000012e+002,9.993359e-006,1.241067e-007,1.898028e-002,1.058568e-002,3,9.424630e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699965290.942,,9.000000e+002,3.000012e+002,1.091729e-005,7.767288e-008,3.893360e-003,3.657017e-003,3,9.303156e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699965406.449,,8.000000e+002,3.000012e+002,1.170949e-005,1.920262e-008,-8.394585e-003,3.904082e-003,3,9.413476e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699965528.204,,7.000000e+002,3.000012e+002,1.266307e-005,2.909834e-007,-7.444507e-003,6.359891e-003,3,9.477388e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699965649.147,,6.000000e+002,3.000012e+002,1.331559e-005,5.566052e-008,-2.573796e-002,4.211005e-003,3,9.548692e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699965770.338,,5.000000e+002,3.000012e+002,1.327036e-005,1.942655e-007,-1.891773e-002,9.083602e-003,3,9.298495e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699965891.779,,4.000000e+002,3.000012e+002,1.350380e-005,7.634421e-008,-3.835097e-002,1.442695e-002,3,9.601717e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699966014.255,,3.000000e+002,3.000012e+002,1.327153e-005,2.197596e-007,-4.002531e-002,8.958257e-003,3,9.465377e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699966135.946,,2.000000e+002,3.000012e+002,1.190059e-005,1.000145e-007,-3.394178e-002,7.406245e-003,3,9.582241e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699966256.687,,1.000000e+002,3.000012e+002,1.077654e-005,7.866713e-008,-4.689399e-002,1.210030e-002,3,9.514451e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699966366.438,,7.500000e+001,2.999941e+002,9.994078e-006,4.636179e-008,-4.175466e-002,1.640949e-002,3,9.500754e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699966481.628,,5.000000e+001,3.000012e+002,9.241790e-006,2.011538e-007,-4.126191e-002,1.649890e-002,3,9.328196e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699966595.850,,2.500000e+001,3.000012e+002,8.163554e-006,1.119944e-007,-3.956054e-002,4.141117e-003,3,8.965802e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699966711.790,,0.000000e+000,2.999977e+002,6.465770e-006,1.564159e-007,-9.957179e-002,2.221450e-003,3,8.902786e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699966820.481,,-2.500000e+001,3.000012e+002,5.639841e-006,4.491126e-007,-9.923030e-002,7.213244e-003,3,9.393288e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699966934.921,,-5.000000e+001,3.000012e+002,4.899283e-006,1.633653e-007,-1.340283e-001,1.583818e-002,3,8.252258e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699967049.672,,-7.500000e+001,2.999977e+002,3.992392e-006,2.192358e-007,-1.839569e-001,5.370773e-004,3,9.146251e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699967159.136,,-1.000000e+002,3.000012e+002,3.165178e-006,3.782016e-008,-1.879779e-001,2.036208e-002,3,8.155951e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699967274.869,,-2.000000e+002,3.000012e+002,1.455232e-006,3.460259e-007,-8.313438e-001,1.333763e-001,3,5.009314e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699967390.071,,-3.000000e+002,3.000012e+002,-2.213128e-006,8.313787e-008,2.313583e-001,9.093503e-002,3,6.873194e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1699967512.012,,-4.000000e+002,2.999977e+002,-3.777675e-006,4.403920e-008,2.327875e-001,1.744346e-001,3,5.586571e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1699967633.974,,-5.000000e+002,2.999941e+002,-4.694277e-006,1.304561e-007,8.346710e-002,4.920339e-003,3,8.376372e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
