Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
3.000000e+002,1.999791e+000,7.927019e-005,-5.255961e-002
3.000000e+002,4.075309e+000,4.619070e-005,-5.340919e-002
3.000000e+002,6.130302e+000,3.391357e-005,-5.082478e-002
3.000000e+002,8.111250e+000,2.710644e-005,-4.852193e-002
3.000000e+002,1.023058e+001,2.248298e-005,-4.493255e-002
3.000000e+002,1.212672e+001,1.970960e-005,-4.037525e-002
3.000000e+002,1.414332e+001,1.775632e-005,-3.746881e-002
3.000000e+002,1.611464e+001,1.639741e-005,-3.324964e-002
3.000000e+002,1.810857e+001,1.540602e-005,-3.038990e-002
3.000000e+002,2.012261e+001,1.469954e-005,-2.884156e-002
3.000000e+002,2.209445e+001,1.413358e-005,-2.512209e-002
3.000000e+002,2.412594e+001,1.376105e-005,-2.575308e-002
3.000000e+002,2.608736e+001,1.338572e-005,-2.556682e-002
3.000000e+002,2.812036e+001,1.317072e-005,-2.335875e-002
3.000000e+002,3.014204e+001,1.293059e-005,-2.231502e-002
3.000000e+002,3.210016e+001,1.280705e-005,-1.593051e-002
3.000000e+002,3.410812e+001,1.261908e-005,-1.930180e-002
3.000000e+002,3.612697e+001,1.244905e-005,-1.755203e-002
3.000000e+002,3.814378e+001,1.227157e-005,-1.595580e-002
3.000000e+002,4.010182e+001,1.233497e-005,-1.167170e-002
3.000000e+002,4.212209e+001,1.282404e-005,-1.064930e-002
3.000000e+002,4.411045e+001,1.399258e-005,-1.379332e-002
3.000000e+002,4.612597e+001,1.616447e-005,-1.884250e-002
3.000000e+002,4.812302e+001,1.841131e-005,-1.507365e-002
3.000000e+002,5.011629e+001,2.105260e-005,-2.680593e-002
3.000000e+002,5.212391e+001,1.900927e-005,-1.596132e-002
3.000000e+002,5.409943e+001,1.378900e-005,-1.181453e-003
3.000000e+002,5.611141e+001,1.349345e-005,-1.460442e-003
3.000000e+002,5.812725e+001,1.407817e-005,-3.228820e-003
3.000000e+002,6.012460e+001,1.408170e-005,-4.935690e-003
3.000000e+002,6.213543e+001,1.316182e-005,-1.430808e-003
3.000000e+002,6.410934e+001,1.192976e-005,2.256769e-003
3.000000e+002,6.611067e+001,1.070995e-005,8.647792e-003
3.000000e+002,6.821304e+001,9.656957e-006,1.597574e-002
3.000000e+002,7.011967e+001,8.904065e-006,1.760941e-002
3.000000e+002,7.213060e+001,8.366937e-006,2.147709e-002
3.000000e+002,7.413136e+001,7.911909e-006,2.596345e-002
3.000000e+002,7.609940e+001,7.562482e-006,3.346217e-002
3.000000e+002,7.812000e+001,7.217766e-006,3.313231e-002
3.000000e+002,8.011522e+001,7.022900e-006,3.568897e-002
3.000000e+002,8.212611e+001,6.874584e-006,3.526985e-002
3.000000e+002,8.410773e+001,6.734311e-006,3.680467e-002
3.000000e+002,8.613639e+001,6.632162e-006,3.906775e-002
3.000000e+002,8.809386e+001,6.547420e-006,4.067073e-002
3.000000e+002,9.011021e+001,6.489536e-006,4.053123e-002
3.000000e+002,9.210371e+001,6.431301e-006,4.032436e-002
3.000000e+002,9.411568e+001,6.368155e-006,3.807381e-002
3.000000e+002,9.612743e+001,6.335980e-006,4.363700e-002
3.000000e+002,9.812526e+001,6.353966e-006,3.950628e-002
3.000000e+002,1.001156e+002,6.353010e-006,3.566168e-002
3.000000e+002,1.021277e+002,6.345699e-006,3.787382e-002
3.000000e+002,1.040986e+002,6.351288e-006,3.985830e-002
3.000000e+002,1.061407e+002,6.374740e-006,3.918458e-002
3.000000e+002,1.081109e+002,6.427334e-006,3.515146e-002
3.000000e+002,1.101025e+002,6.447581e-006,3.651798e-002
3.000000e+002,1.121220e+002,6.458966e-006,3.485757e-002
3.000000e+002,1.140972e+002,6.464681e-006,3.593497e-002
3.000000e+002,1.161113e+002,6.490215e-006,3.602477e-002
3.000000e+002,1.181327e+002,6.475826e-006,3.317031e-002
3.000000e+002,1.200986e+002,6.520436e-006,3.083778e-002
3.000000e+002,1.221232e+002,6.503651e-006,2.989016e-002
3.000000e+002,1.241038e+002,6.512087e-006,3.204952e-002
3.000000e+002,1.261287e+002,6.526161e-006,2.793102e-002
3.000000e+002,1.281277e+002,6.536041e-006,3.010623e-002
3.000000e+002,1.301129e+002,6.526997e-006,3.246599e-002
3.000000e+002,1.321025e+002,6.538511e-006,3.259353e-002
3.000000e+002,1.341272e+002,6.528008e-006,2.778512e-002
3.000000e+002,1.360966e+002,6.501432e-006,3.080693e-002
3.000000e+002,1.381206e+002,6.504375e-006,2.375881e-002
3.000000e+002,1.401025e+002,6.513014e-006,2.807636e-002
3.000000e+002,1.421481e+002,6.524933e-006,2.537569e-002
3.000000e+002,1.441040e+002,6.505877e-006,2.793886e-002
3.000000e+002,1.461207e+002,6.533481e-006,2.421850e-002
3.000000e+002,1.481015e+002,6.517563e-006,2.317603e-002
3.000000e+002,1.501211e+002,6.512434e-006,2.260965e-002
3.000000e+002,1.520951e+002,6.523216e-006,2.451444e-002
3.000000e+002,1.541229e+002,6.514298e-006,2.386379e-002
3.000000e+002,1.561127e+002,6.539950e-006,1.933071e-002
3.000000e+002,1.581148e+002,6.526688e-006,1.948568e-002
3.000000e+002,1.601178e+002,6.527098e-006,2.310701e-002
3.000000e+002,1.621147e+002,6.513475e-006,2.295833e-002
3.000000e+002,1.641051e+002,6.506331e-006,2.056087e-002
3.000000e+002,1.661048e+002,6.550642e-006,1.594281e-002
3.000000e+002,1.681154e+002,6.560374e-006,2.372759e-002
3.000000e+002,1.701130e+002,6.533616e-006,2.047034e-002
3.000000e+002,1.721105e+002,6.529569e-006,1.957288e-002
3.000000e+002,1.741172e+002,6.526943e-006,1.397824e-002
3.000000e+002,1.761078e+002,6.553752e-006,1.631318e-002
3.000000e+002,1.781138e+002,6.531767e-006,2.144028e-002
3.000000e+002,1.801255e+002,6.538786e-006,1.744414e-002
3.000000e+002,1.821449e+002,6.547946e-006,1.942352e-002
3.000000e+002,1.840894e+002,6.548447e-006,1.807291e-002
3.000000e+002,1.861190e+002,6.552009e-006,1.886656e-002
3.000000e+002,1.881298e+002,6.558508e-006,2.076923e-002
3.000000e+002,1.901080e+002,6.570463e-006,1.734148e-002
3.000000e+002,1.921209e+002,6.549183e-006,1.709626e-002
3.000000e+002,1.941120e+002,6.543398e-006,1.314035e-002
3.000000e+002,1.961480e+002,6.560522e-006,1.534271e-002
3.000000e+002,1.980999e+002,6.562238e-006,1.587077e-002
3.000000e+002,2.001022e+002,6.586502e-006,1.483832e-002
3.000000e+002,2.021298e+002,6.587427e-006,1.177434e-002
3.000000e+002,2.041292e+002,6.586941e-006,1.125424e-002
3.000000e+002,2.061109e+002,6.580254e-006,1.480486e-002
3.000000e+002,2.081379e+002,6.614012e-006,1.078888e-002
3.000000e+002,2.101092e+002,6.605763e-006,1.133113e-002
3.000000e+002,2.121034e+002,6.604506e-006,1.211076e-002
3.000000e+002,2.141278e+002,6.613582e-006,9.209460e-003
3.000000e+002,2.161214e+002,6.570160e-006,7.883158e-003
3.000000e+002,2.181073e+002,6.578357e-006,7.452773e-003
3.000000e+002,2.201444e+002,6.593486e-006,7.997772e-003
3.000000e+002,2.220963e+002,6.640497e-006,8.871090e-003
3.000000e+002,2.241156e+002,6.637708e-006,1.051171e-002
3.000000e+002,2.261137e+002,6.614501e-006,6.669713e-003
3.000000e+002,2.281006e+002,6.637619e-006,5.764052e-003
3.000000e+002,2.301281e+002,6.632785e-006,4.269793e-003
3.000000e+002,2.321119e+002,6.630058e-006,2.578160e-003
3.000000e+002,2.341316e+002,6.615212e-006,5.664721e-003
3.000000e+002,2.361225e+002,6.621776e-006,1.566537e-003
3.000000e+002,2.381059e+002,6.646928e-006,6.455871e-003
3.000000e+002,2.401164e+002,6.618064e-006,4.933863e-003
3.000000e+002,2.421341e+002,6.694603e-006,4.001675e-003
3.000000e+002,2.441097e+002,6.636681e-006,2.331525e-003
3.000000e+002,2.461111e+002,6.644975e-006,-2.181177e-004
3.000000e+002,2.481217e+002,6.637444e-006,2.641065e-003
3.000000e+002,2.500977e+002,6.640166e-006,1.575947e-003
3.000000e+002,2.521277e+002,6.639508e-006,2.579546e-003
3.000000e+002,2.541335e+002,6.694850e-006,1.961361e-003
3.000000e+002,2.561104e+002,6.652501e-006,2.157254e-003
3.000000e+002,2.581185e+002,6.668127e-006,-1.194842e-003
3.000000e+002,2.600953e+002,6.693969e-006,-8.901594e-004
3.000000e+002,2.621295e+002,6.632004e-006,-5.417690e-004
3.000000e+002,2.641381e+002,6.656679e-006,-1.250590e-004
3.000000e+002,2.660954e+002,6.640294e-006,2.971339e-003
3.000000e+002,2.681366e+002,6.656385e-006,-1.816546e-003
3.000000e+002,2.700857e+002,6.651849e-006,-1.036141e-003
3.000000e+002,2.721254e+002,6.654474e-006,2.149228e-003
3.000000e+002,2.741301e+002,6.676142e-006,-1.964879e-003
3.000000e+002,2.761183e+002,6.655147e-006,1.044226e-003
3.000000e+002,2.781159e+002,6.659465e-006,2.639878e-003
3.000000e+002,2.801561e+002,6.672556e-006,8.936384e-004
3.000000e+002,2.820970e+002,6.705407e-006,-1.015569e-003
3.000000e+002,2.841295e+002,6.672226e-006,1.700553e-003
3.000000e+002,2.860965e+002,6.654990e-006,-1.109236e-004
3.000000e+002,2.881214e+002,6.662495e-006,1.855540e-003
3.000000e+002,2.901434e+002,6.638812e-006,2.335456e-003
3.000000e+002,2.920914e+002,6.660113e-006,1.263546e-003
3.000000e+002,2.941178e+002,6.692811e-006,5.047448e-003
3.000000e+002,2.961220e+002,6.694932e-006,2.328656e-003
3.000000e+002,2.981014e+002,6.709332e-006,2.098932e-003
3.000000e+002,3.001182e+002,6.664600e-006,7.721746e-004
3.000000e+002,3.021141e+002,6.692260e-006,3.831707e-003
3.000000e+002,3.041095e+002,6.656472e-006,5.444760e-003
3.000000e+002,3.061002e+002,6.706418e-006,5.304272e-003
3.000000e+002,3.081190e+002,6.693523e-006,1.004254e-002
3.000000e+002,3.101170e+002,6.650549e-006,1.127408e-002
3.000000e+002,3.121006e+002,6.672700e-006,8.629764e-003
3.000000e+002,3.141115e+002,6.660240e-006,1.165167e-002
3.000000e+002,3.161305e+002,6.662291e-006,1.208046e-002
3.000000e+002,3.181092e+002,6.668506e-006,1.217771e-002
3.000000e+002,3.201266e+002,6.659152e-006,1.769638e-002
3.000000e+002,3.221013e+002,6.659289e-006,1.601563e-002
3.000000e+002,3.241064e+002,6.652693e-006,2.064211e-002
3.000000e+002,3.261382e+002,6.673935e-006,2.442009e-002
3.000000e+002,3.281308e+002,6.641282e-006,2.493127e-002
3.000000e+002,3.301016e+002,6.652362e-006,2.769083e-002
3.000000e+002,3.321462e+002,6.618313e-006,3.005522e-002
3.000000e+002,3.341219e+002,6.637642e-006,2.865140e-002
3.000000e+002,3.361090e+002,6.646546e-006,3.714151e-002
3.000000e+002,3.381420e+002,6.681264e-006,3.675494e-002
3.000000e+002,3.400946e+002,6.633142e-006,4.013583e-002
3.000000e+002,3.421087e+002,6.632804e-006,3.953026e-002
3.000000e+002,3.441078e+002,6.599977e-006,4.358284e-002
3.000000e+002,3.461172e+002,6.622255e-006,4.678374e-002
3.000000e+002,3.481030e+002,6.655053e-006,4.368762e-002
3.000000e+002,3.501424e+002,6.632391e-006,4.846486e-002
3.000000e+002,3.520950e+002,6.592239e-006,5.502107e-002
3.000000e+002,3.541312e+002,6.606905e-006,5.592006e-002
3.000000e+002,3.561081e+002,6.626292e-006,5.862743e-002
3.000000e+002,3.581264e+002,6.622613e-006,5.717249e-002
3.000000e+002,3.601166e+002,6.614866e-006,6.152442e-002
3.000000e+002,3.621328e+002,6.587299e-006,6.533142e-002
3.000000e+002,3.641061e+002,6.584053e-006,6.998871e-002
3.000000e+002,3.661100e+002,6.607322e-006,6.810549e-002
3.000000e+002,3.681044e+002,6.612411e-006,7.107691e-002
3.000000e+002,3.701162e+002,6.600811e-006,7.346843e-002
3.000000e+002,3.721204e+002,6.569676e-006,7.569265e-002
3.000000e+002,3.740964e+002,6.628642e-006,8.360938e-002
3.000000e+002,3.761174e+002,6.578676e-006,8.305707e-002
3.000000e+002,3.781353e+002,6.601576e-006,8.952496e-002
3.000000e+002,3.801173e+002,6.613605e-006,9.436876e-002
3.000000e+002,3.821153e+002,6.561139e-006,9.530148e-002
3.000000e+002,3.841054e+002,6.554731e-006,1.028751e-001
3.000000e+002,3.861172e+002,6.602165e-006,1.048023e-001
3.000000e+002,3.881114e+002,6.597457e-006,1.084590e-001
3.000000e+002,3.899853e+002,6.613134e-006,1.132186e-001
