Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1699984780.459,,3.000000e+002,1.999791e+000,7.927019e-005,9.600345e-009,-5.255961e-002,1.096240e-004,3,9.687377e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.912045e-003,0,,0,
1699985006.223,,3.000000e+002,4.075309e+000,4.619070e-005,3.381292e-007,-5.340919e-002,4.410194e-004,3,9.634426e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.026049e-001,0,,0,
1699985326.922,,3.000000e+002,6.130302e+000,3.391357e-005,2.583938e-007,-5.082478e-002,2.269002e-004,3,9.623037e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.922140e-001,0,,0,
1699985480.862,,3.000000e+002,8.111250e+000,2.710644e-005,2.036266e-007,-4.852193e-002,1.034334e-003,3,9.609995e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.675243e-001,0,,0,
1699985641.516,,3.000000e+002,1.023058e+001,2.248298e-005,1.299905e-007,-4.493255e-002,1.929693e-004,3,9.602726e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.642895e-001,0,,0,
1699985789.956,,3.000000e+002,1.212672e+001,1.970960e-005,1.008306e-007,-4.037525e-002,7.329995e-004,3,9.599456e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.726799e-001,0,,0,
1699985944.644,,3.000000e+002,1.414332e+001,1.775632e-005,7.491973e-008,-3.746881e-002,2.099242e-003,3,9.620826e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.806698e-001,0,,0,
1699986098.584,,3.000000e+002,1.611464e+001,1.639741e-005,3.815571e-008,-3.324964e-002,7.237562e-004,3,9.619903e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.799793e-001,0,,0,
1699986250.809,,3.000000e+002,1.810857e+001,1.540602e-005,8.836330e-009,-3.038990e-002,1.054198e-004,3,9.627500e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.640701e-001,0,,0,
1699986403.748,,3.000000e+002,2.012261e+001,1.469954e-005,5.248805e-008,-2.884156e-002,4.650338e-004,3,9.638026e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.801910e-001,0,,0,
1699986552.187,,3.000000e+002,2.209445e+001,1.413358e-005,4.894838e-008,-2.512209e-002,2.062825e-004,3,9.644400e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.640701e-001,0,,0,
