[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1642623753.483000 1/19/2022, 9:22:33 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, STO-N10-2g-15a-500C-vac_MvH_T-300K
INFO, WEIGHT, 110.990
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 19-01-2022
INFO, SEQUENCE FILE: MvsH-full_mod_MvT.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1642623753.482,,0.000000e+000,2.999963e+002,2.199826e-006,5.105665e-008,-7.627709e-002,6.551954e-003,3,9.209239e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1642623794.923,,5.042954e+001,2.999998e+002,2.923025e-006,6.584320e-008,-5.775987e-002,6.146986e-004,3,9.241508e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642623836.173,,1.006694e+002,2.999998e+002,3.889284e-006,5.118029e-008,-3.300520e-002,1.379254e-002,3,9.382510e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642623910.693,,2.011347e+002,2.999998e+002,5.679909e-006,1.150745e-007,-3.326605e-002,7.701927e-003,3,9.449303e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642623941.450,,3.014248e+002,2.999998e+002,6.748212e-006,3.457423e-008,-4.095170e-002,5.508214e-003,3,9.321091e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642623972.342,,4.019192e+002,2.999963e+002,7.559425e-006,9.957785e-008,-3.508611e-002,3.296339e-003,3,9.686083e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1642624006.152,,5.023699e+002,2.999963e+002,7.732309e-006,3.280954e-008,-3.309926e-002,2.393915e-004,3,9.662952e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1642624037.315,,6.027767e+002,2.999998e+002,7.684032e-006,1.611858e-007,-9.529887e-003,1.962643e-002,3,9.201214e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642624068.673,,7.030961e+002,2.999963e+002,7.218389e-006,2.760646e-008,-2.100025e-002,5.123479e-003,3,9.537210e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1642624100.578,,8.035029e+002,2.999998e+002,6.409200e-006,2.655587e-007,-5.536827e-003,2.526710e-003,3,9.167128e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642624131.090,,9.039390e+002,2.999998e+002,5.472533e-006,5.454160e-007,4.675078e-002,2.638122e-002,3,8.561727e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642624172.474,,1.004419e+003,2.999998e+002,4.923453e-006,1.750445e-007,1.704318e-002,1.750685e-002,3,8.191594e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642624253.591,,1.255356e+003,2.999998e+002,2.939211e-006,1.105625e-007,1.431507e-001,9.123033e-003,3,7.801053e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642624287.554,,1.506263e+003,2.999963e+002,-5.825264e-007,3.240142e-007,-5.299247e-001,7.494267e-001,3,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1642624308.805,,1.757449e+003,2.999998e+002,-3.994858e-006,1.968378e-006,-6.604075e-001,4.314259e-001,3,2.425863e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642624330.740,,2.008429e+003,2.999998e+002,-9.457739e-006,4.559938e-007,-2.219048e-001,1.475137e-002,3,7.843351e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642624397.928,,3.012060e+003,3.000034e+002,-3.081854e-005,1.156210e-006,-1.414316e-001,7.536942e-003,3,9.325793e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.422119e-002,0,,0,
1642624423.882,,4.015618e+003,2.999998e+002,-5.624303e-005,1.895415e-006,-1.363881e-001,5.336634e-004,3,9.327843e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1642624449.068,,5.019468e+003,2.999998e+002,-8.067977e-005,2.489360e-006,-1.430220e-001,2.593952e-002,3,8.771174e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
