Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
3.000000e+002,1.999872e+000,7.540324e-005,-9.117806e-002
3.000000e+002,3.983302e+000,4.430011e-005,-8.578530e-002
3.000000e+002,6.176014e+000,3.158849e-005,-8.154732e-002
3.000000e+002,8.262341e+000,2.493616e-005,-7.716572e-002
3.000000e+002,1.014718e+001,2.103414e-005,-7.220586e-002
3.000000e+002,1.213629e+001,1.817530e-005,-6.842145e-002
3.000000e+002,1.421016e+001,1.615789e-005,-6.382398e-002
3.000000e+002,1.618846e+001,1.485625e-005,-6.202634e-002
3.000000e+002,1.812722e+001,1.389893e-005,-6.072056e-002
3.000000e+002,2.016010e+001,1.310942e-005,-5.891886e-002
3.000000e+002,2.215065e+001,1.255398e-005,-5.321360e-002
3.000000e+002,2.416533e+001,1.204989e-005,-5.571490e-002
3.000000e+002,2.614691e+001,1.164525e-005,-5.479855e-002
3.000000e+002,2.816124e+001,1.126420e-005,-5.159126e-002
3.000000e+002,3.017739e+001,1.096854e-005,-5.112258e-002
3.000000e+002,3.213875e+001,1.070430e-005,-5.118586e-002
3.000000e+002,3.414985e+001,1.039939e-005,-4.848974e-002
3.000000e+002,3.622422e+001,1.019757e-005,-4.649621e-002
3.000000e+002,3.818670e+001,1.005578e-005,-4.526895e-002
3.000000e+002,4.014483e+001,1.007125e-005,-4.538310e-002
3.000000e+002,4.214507e+001,1.036170e-005,-5.008295e-002
3.000000e+002,4.414931e+001,1.067884e-005,-4.932710e-002
3.000000e+002,4.615688e+001,1.077994e-005,-4.821238e-002
3.000000e+002,4.812666e+001,9.961481e-006,-4.437361e-002
3.000000e+002,5.017009e+001,1.033971e-005,-4.682060e-002
3.000000e+002,5.214130e+001,1.076552e-005,-4.966153e-002
3.000000e+002,5.415266e+001,1.087226e-005,-4.431819e-002
3.000000e+002,5.615798e+001,1.094095e-005,-4.611513e-002
3.000000e+002,5.813528e+001,1.074744e-005,-4.635673e-002
3.000000e+002,6.014521e+001,1.026681e-005,-4.352362e-002
3.000000e+002,6.215710e+001,9.670291e-006,-3.989320e-002
3.000000e+002,6.415526e+001,9.072306e-006,-3.558197e-002
3.000000e+002,6.614611e+001,8.522209e-006,-3.111314e-002
3.000000e+002,6.816394e+001,8.016017e-006,-3.013000e-002
3.000000e+002,7.012918e+001,7.568349e-006,-2.588253e-002
3.000000e+002,7.214192e+001,7.252409e-006,-2.008907e-002
3.000000e+002,7.414561e+001,6.919623e-006,-2.008034e-002
3.000000e+002,7.616342e+001,6.709522e-006,-1.485823e-002
3.000000e+002,7.815691e+001,6.515702e-006,-1.509830e-002
3.000000e+002,8.016745e+001,6.393283e-006,-7.094124e-003
3.000000e+002,8.215478e+001,6.276960e-006,-7.808467e-003
3.000000e+002,8.413425e+001,6.203964e-006,-7.718533e-003
3.000000e+002,8.615720e+001,6.124172e-006,-6.365430e-003
3.000000e+002,8.813133e+001,6.067485e-006,-6.672959e-003
