Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1642647734.762,,3.000000e+002,1.999872e+000,7.540324e-005,1.446740e-008,-9.117806e-002,2.450839e-005,3,9.836578e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.619028e-004,0,,0,
1642647966.672,,3.000000e+002,3.983302e+000,4.430011e-005,5.924329e-009,-8.578530e-002,4.950095e-004,3,9.833259e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.507327e-002,0,,0,
1642648325.373,,3.000000e+002,6.176014e+000,3.158849e-005,4.118913e-007,-8.154732e-002,1.347593e-003,3,9.836360e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.772560e-001,0,,0,
1642648450.043,,3.000000e+002,8.262341e+000,2.493616e-005,1.862202e-007,-7.716572e-002,5.190595e-004,3,9.833096e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.217636e-001,0,,0,
1642648566.753,,3.000000e+002,1.014718e+001,2.103414e-005,1.399973e-007,-7.220586e-002,3.523371e-004,3,9.829932e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.956205e-001,0,,0,
1642648691.940,,3.000000e+002,1.213629e+001,1.817530e-005,9.965759e-008,-6.842145e-002,3.319275e-004,3,9.832543e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.288799e-001,0,,0,
1642648817.927,,3.000000e+002,1.421016e+001,1.615789e-005,6.465827e-008,-6.382398e-002,9.244701e-004,3,9.825389e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.248898e-001,0,,0,
1642648940.668,,3.000000e+002,1.618846e+001,1.485625e-005,3.335940e-008,-6.202634e-002,1.045155e-003,3,9.810969e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.240887e-001,0,,0,
1642649057.605,,3.000000e+002,1.812722e+001,1.389893e-005,5.263082e-008,-6.072056e-002,1.851419e-003,3,9.814078e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.055302e-001,0,,0,
1642649180.293,,3.000000e+002,2.016010e+001,1.310942e-005,2.904541e-008,-5.891886e-002,1.838290e-003,3,9.823698e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.448597e-001,0,,0,
