Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1643112921.980,,0.000000e+000,2.999857e+002,2.131972e-006,2.593421e-008,-7.541291e-004,2.983896e-002,3,9.126197e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1643112952.216,,5.031284e+001,2.999998e+002,4.322196e-006,2.019484e-007,-9.921508e-003,2.694700e-003,3,9.540588e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1643112994.259,,1.005819e+002,2.999998e+002,6.544143e-006,8.516415e-008,-8.283695e-003,7.530723e-003,3,9.698852e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1643113069.756,,2.011201e+002,2.999998e+002,1.075680e-005,4.532381e-008,-1.093159e-002,2.530034e-003,3,9.753923e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1643113101.905,,3.014102e+002,2.999998e+002,1.552748e-005,1.088322e-007,-5.745495e-003,2.006787e-003,3,9.788544e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1643113132.170,,4.019046e+002,2.999998e+002,2.021944e-005,1.198422e-007,-8.096290e-004,6.038442e-004,3,9.743545e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1643113172.566,,5.023406e+002,2.999998e+002,2.457210e-005,8.813564e-008,2.620412e-003,1.520033e-003,3,9.816517e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1643113204.338,,6.027621e+002,2.999963e+002,2.823161e-005,6.528851e-008,6.934252e-003,2.454038e-003,3,9.817556e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1643113235.763,,7.030814e+002,2.999998e+002,3.114438e-005,1.815113e-008,7.128839e-003,8.337075e-004,3,9.782391e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1643113266.393,,8.035029e+002,2.999927e+002,3.392046e-005,9.201101e-008,7.597763e-003,5.943792e-005,3,9.826739e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
