Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
0.000000e+000,2.999857e+002,2.131972e-006,-7.541291e-004
5.031284e+001,2.999998e+002,4.322196e-006,-9.921508e-003
1.005819e+002,2.999998e+002,6.544143e-006,-8.283695e-003
2.011201e+002,2.999998e+002,1.075680e-005,-1.093159e-002
3.014102e+002,2.999998e+002,1.552748e-005,-5.745495e-003
4.019046e+002,2.999998e+002,2.021944e-005,-8.096290e-004
5.023406e+002,2.999998e+002,2.457210e-005,2.620412e-003
6.027621e+002,2.999963e+002,2.823161e-005,6.934252e-003
7.030814e+002,2.999998e+002,3.114438e-005,7.128839e-003
8.035029e+002,2.999927e+002,3.392046e-005,7.597763e-003
9.039099e+002,2.999998e+002,3.602284e-005,1.222268e-002
1.004390e+003,2.999927e+002,3.768382e-005,1.242748e-002
1.255297e+003,2.999998e+002,4.035377e-005,1.662654e-002
1.506206e+003,2.999998e+002,4.115434e-005,2.504747e-002
1.757375e+003,2.999998e+002,4.106033e-005,2.325579e-002
2.008429e+003,2.999998e+002,3.995539e-005,3.058133e-002
3.012060e+003,2.999963e+002,2.895772e-005,6.441003e-002
4.015618e+003,2.999998e+002,1.259937e-005,1.597265e-001
5.019468e+003,2.999998e+002,-1.057176e-005,-5.498235e-001
6.022808e+003,2.999998e+002,-3.114367e-005,-1.513425e-001
7.013894e+003,2.999998e+002,-5.854888e-005,-7.131366e-002
8.017378e+003,2.999998e+002,-8.361129e-005,-6.396938e-002
9.021593e+003,2.999998e+002,-1.109758e-004,-5.383184e-002
1.002640e+004,2.999963e+002,-1.368455e-004,-5.408799e-002
1.500000e+004,2.999998e+002,-2.731500e-004,-3.492661e-002
2.000000e+004,2.999998e+002,-4.116355e-004,-3.124623e-002
2.500000e+004,2.999998e+002,-5.518181e-004,-2.705856e-002
3.000000e+004,2.999927e+002,-6.910687e-004,-2.571133e-002
3.500000e+004,2.999998e+002,-8.313479e-004,-2.432246e-002
4.000000e+004,2.999998e+002,-9.707407e-004,-2.259993e-002
4.500000e+004,2.999998e+002,-1.109543e-003,-2.104555e-002
5.000000e+004,2.999998e+002,-1.249044e-003,-2.021511e-002
5.500000e+004,2.999998e+002,-1.388377e-003,-1.958719e-002
6.000000e+004,2.999998e+002,-1.527854e-003,-1.908679e-002
6.500000e+004,2.999998e+002,-1.667324e-003,-1.871712e-002
7.000000e+004,2.999998e+002,-1.806916e-003,-1.835337e-002
6.524477e+004,3.000069e+002,-1.676205e-003,-1.939980e-002
5.520846e+004,2.999998e+002,-1.393283e-003,-2.010667e-002
4.517653e+004,3.000034e+002,-1.112707e-003,-2.119402e-002
3.514970e+004,2.999998e+002,-8.329051e-004,-2.346599e-002
2.512214e+004,2.999998e+002,-5.551831e-004,-2.592344e-002
1.508276e+004,2.999963e+002,-2.677079e-004,-4.670015e-002
1.003135e+004,2.999998e+002,-1.353455e-004,-4.622757e-002
9.021594e+003,3.000034e+002,-1.033322e-004,-3.079234e-002
8.015920e+003,2.999998e+002,-8.208011e-005,-6.075169e-002
7.011559e+003,2.999998e+002,-5.660098e-005,-9.002617e-002
6.022515e+003,2.999998e+002,-3.049452e-005,-1.893979e-001
5.019177e+003,2.999998e+002,-9.907633e-006,-5.137566e-001
4.015619e+003,2.999998e+002,1.694524e-005,1.662510e-001
3.011987e+003,2.999998e+002,3.171147e-005,6.895015e-002
2.000000e+003,2.999998e+002,4.325021e-005,2.789216e-002
1.750000e+003,2.999963e+002,4.509770e-005,2.241538e-002
1.500000e+003,2.999998e+002,4.655739e-005,1.386996e-002
1.250000e+003,2.999998e+002,4.653020e-005,1.533487e-002
1.000000e+003,2.999998e+002,4.543349e-005,1.089722e-002
9.000000e+002,2.999998e+002,4.492749e-005,8.710368e-003
8.000000e+002,2.999998e+002,4.394788e-005,8.867124e-003
7.000000e+002,3.000034e+002,4.256226e-005,3.825160e-003
6.000000e+002,2.999998e+002,4.126810e-005,4.707136e-003
5.000000e+002,2.999998e+002,3.902754e-005,2.167035e-003
4.000000e+002,2.999998e+002,5.115080e-005,2.419959e-001
3.000000e+002,2.999963e+002,3.354222e-005,-4.505254e-004
2.000000e+002,3.000034e+002,2.947673e-005,1.611792e-003
1.000000e+002,2.999998e+002,2.410871e-005,9.798320e-003
7.500000e+001,2.999998e+002,2.203074e-005,6.288013e-003
5.000000e+001,2.999998e+002,2.040013e-005,4.388645e-003
2.500000e+001,2.999963e+002,1.855570e-005,4.815921e-003
0.000000e+000,2.999998e+002,1.639079e-005,1.350319e-002
-2.500000e+001,2.999998e+002,1.454534e-005,2.380990e-002
-5.000000e+001,2.999998e+002,1.219958e-005,1.203852e-002
-7.500000e+001,3.000034e+002,1.021209e-005,2.121749e-002
-1.000000e+002,3.000104e+002,8.613323e-006,1.364453e-002
-2.000000e+002,2.999998e+002,3.605429e-007,-4.641118e-001
-3.000000e+002,2.999998e+002,-6.421320e-006,-1.120540e-002
-4.000000e+002,2.999998e+002,-1.298484e-005,-2.741965e-004
-5.000000e+002,2.999998e+002,-1.851867e-005,-2.315134e-003
-6.000000e+002,2.999998e+002,-2.361698e-005,5.000520e-003
-7.000000e+002,2.999998e+002,-2.744588e-005,1.022031e-002
-8.000000e+002,2.999927e+002,-3.081219e-005,1.336932e-002
-9.000000e+002,2.999998e+002,-3.363176e-005,7.598536e-003
-1.000000e+003,2.999998e+002,-3.585413e-005,2.186753e-002
-1.250000e+003,2.999963e+002,-3.938944e-005,2.025664e-002
-1.500000e+003,2.999998e+002,-4.122582e-005,2.576484e-002
-1.750000e+003,2.999998e+002,-4.101817e-005,2.798627e-002
-2.000000e+003,2.999998e+002,-4.014558e-005,3.475960e-002
-3.012133e+003,2.999963e+002,-2.959220e-005,6.221992e-002
-4.015764e+003,2.999998e+002,-1.260509e-005,1.807072e-001
-5.019468e+003,2.999998e+002,8.124528e-006,-7.301676e-001
-6.022808e+003,2.999998e+002,3.077018e-005,-1.075825e-001
-7.014332e+003,2.999998e+002,5.721577e-005,-8.469606e-002
-8.017816e+003,2.999998e+002,8.113368e-005,-5.948403e-002
-9.021885e+003,2.999963e+002,1.103998e-004,-5.738325e-002
-1.002669e+004,2.999998e+002,1.373453e-004,-4.355931e-002
-1.500000e+004,2.999963e+002,2.718647e-004,-3.191847e-002
-2.000000e+004,2.999998e+002,4.107274e-004,-2.725124e-002
-2.500000e+004,2.999927e+002,5.500411e-004,-2.423450e-002
-3.000000e+004,3.000034e+002,6.891940e-004,-2.258140e-002
-3.500000e+004,2.999998e+002,8.294348e-004,-2.064021e-002
-4.000000e+004,3.000034e+002,9.685662e-004,-1.963660e-002
-4.500000e+004,2.999963e+002,1.107618e-003,-1.940923e-002
-5.000000e+004,2.999998e+002,1.246915e-003,-1.890763e-002
-5.500000e+004,3.000034e+002,1.386395e-003,-1.852953e-002
-6.000000e+004,2.999998e+002,1.525874e-003,-1.812126e-002
-6.500000e+004,2.999998e+002,1.665293e-003,-1.783085e-002
-7.000000e+004,2.999998e+002,1.804633e-003,-1.749100e-002
-6.500000e+004,2.999998e+002,1.664627e-003,-1.854128e-002
-5.500000e+004,2.999998e+002,1.385089e-003,-2.013602e-002
-4.500000e+004,2.999998e+002,1.106176e-003,-2.205505e-002
-3.500000e+004,2.999998e+002,8.275937e-004,-2.416910e-002
-2.500000e+004,2.999998e+002,5.485956e-004,-2.745457e-002
-1.500000e+004,2.999998e+002,2.707757e-004,-3.292852e-002
-1.002756e+004,3.000034e+002,1.339589e-004,-5.316843e-002
-9.021593e+003,2.999998e+002,1.059376e-004,-4.920715e-002
-8.016649e+003,2.999998e+002,8.058838e-005,-1.025437e-002
-7.012435e+003,2.999998e+002,5.625619e-005,-9.619392e-002
-6.022515e+003,2.999998e+002,3.165760e-005,-1.196310e-001
-5.019177e+003,3.000034e+002,3.231798e-006,-2.269402e-001
-4.015619e+003,2.999998e+002,-1.659818e-005,1.893122e-001
-3.011987e+003,2.999998e+002,-3.081764e-005,5.535109e-002
-2.000000e+003,2.999963e+002,-4.350453e-005,2.958549e-002
-1.750000e+003,2.999998e+002,-4.515472e-005,2.608711e-002
-1.500000e+003,3.000034e+002,-4.531504e-005,4.879375e-003
-1.250000e+003,2.999998e+002,-4.641837e-005,1.599966e-002
-1.000000e+003,2.999998e+002,-4.584208e-005,1.106086e-002
-9.000000e+002,2.999998e+002,-4.506826e-005,9.317707e-003
-8.000000e+002,2.999998e+002,-4.422184e-005,1.064882e-002
-7.000000e+002,3.000034e+002,-4.276854e-005,9.928428e-003
-6.000000e+002,2.999963e+002,-4.131193e-005,8.741425e-003
-5.000000e+002,2.999963e+002,-3.947866e-005,6.579773e-003
-4.000000e+002,2.999998e+002,-3.650339e-005,4.880381e-003
-3.000000e+002,2.999998e+002,-3.353005e-005,6.129830e-003
-2.000000e+002,2.999998e+002,-2.978285e-005,1.696593e-003
-1.000000e+002,2.999998e+002,-2.389099e-005,-9.831346e-004
-7.500000e+001,3.000104e+002,-2.233665e-005,6.579222e-003
-5.000000e+001,2.999998e+002,-2.034121e-005,1.601067e-002
-2.500000e+001,2.999998e+002,-1.828532e-005,1.422043e-002
0.000000e+000,2.999998e+002,-1.652049e-005,1.741489e-002
2.500000e+001,2.999963e+002,-1.462175e-005,1.309131e-002
5.000000e+001,2.999892e+002,-1.247417e-005,1.882777e-002
7.500000e+001,2.999998e+002,-1.028259e-005,1.905540e-002
1.000000e+002,2.999998e+002,-8.514135e-006,1.929507e-002
2.000000e+002,2.999998e+002,-9.704486e-007,2.281377e-001
3.000000e+002,2.999998e+002,6.569918e-006,-2.272039e-002
4.000000e+002,2.999998e+002,1.269825e-005,-8.704824e-003
5.000000e+002,3.000069e+002,1.851796e-005,-1.060013e-003
6.000000e+002,2.999998e+002,2.338159e-005,7.034647e-003
7.000000e+002,3.000034e+002,2.768937e-005,1.325423e-002
8.000000e+002,2.999998e+002,3.087522e-005,8.791535e-003
9.000000e+002,2.999998e+002,3.312242e-005,2.468428e-002
1.000000e+003,2.999998e+002,3.615564e-005,2.154898e-002
1.250000e+003,2.999998e+002,3.914470e-005,1.613715e-002
1.500000e+003,2.999998e+002,4.096734e-005,2.588698e-002
1.750000e+003,2.999998e+002,4.109184e-005,2.844201e-002
2.000000e+003,2.999998e+002,4.013482e-005,3.434816e-002
3.012133e+003,2.999998e+002,2.967212e-005,6.523354e-002
