Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
0.000000e+000,3.000012e+002,9.010284e-007,6.223416e-002
5.047331e+001,3.000012e+002,4.894460e-006,1.271647e-001
1.006840e+002,2.999977e+002,8.457439e-006,1.520372e-001
2.011638e+002,2.999977e+002,1.613293e-005,1.539582e-001
3.014541e+002,3.000012e+002,2.343455e-005,1.619378e-001
4.019338e+002,2.999994e+002,3.053385e-005,1.725641e-001
5.023846e+002,2.999994e+002,3.731262e-005,1.733118e-001
6.027621e+002,2.999994e+002,4.410690e-005,1.834643e-001
7.030231e+002,2.999977e+002,5.039840e-005,1.924292e-001
8.034592e+002,3.000012e+002,5.642252e-005,1.919440e-001
9.038223e+002,2.999994e+002,5.965611e-005,2.167552e-001
1.004331e+003,2.999977e+002,6.463411e-005,2.134681e-001
1.255181e+003,2.999994e+002,7.499965e-005,2.239611e-001
1.506118e+003,2.999959e+002,8.315381e-005,2.538203e-001
1.757230e+003,2.999994e+002,8.789459e-005,2.687546e-001
2.008283e+003,2.999994e+002,9.119559e-005,2.851999e-001
3.011696e+003,2.999994e+002,9.381441e-005,3.504683e-001
4.015326e+003,2.999977e+002,8.939427e-005,4.112726e-001
5.019030e+003,2.999977e+002,7.880564e-005,5.459754e-001
6.022225e+003,3.000012e+002,7.139872e-005,6.807488e-001
7.013165e+003,3.000012e+002,3.592384e-005,4.480974e-001
8.017086e+003,2.999994e+002,-6.542598e-005,-6.755055e-001
9.021010e+003,3.000012e+002,-8.099309e-005,-5.440778e-001
1.002552e+004,2.999977e+002,-9.824106e-005,-3.953174e-001
1.500000e+004,2.999959e+002,-2.223057e-004,-1.769792e-001
2.000000e+004,2.999959e+002,-3.571361e-004,-1.156552e-001
2.500000e+004,2.999959e+002,-4.947231e-004,-8.653089e-002
3.000000e+004,2.999994e+002,-6.329762e-004,-6.947833e-002
3.500000e+004,2.999959e+002,-7.720437e-004,-5.790056e-002
4.000000e+004,2.999994e+002,-9.111282e-004,-4.968225e-002
4.500000e+004,2.999994e+002,-1.050224e-003,-4.308458e-002
5.000000e+004,3.000012e+002,-1.189316e-003,-3.786533e-002
5.500000e+004,2.999959e+002,-1.328656e-003,-3.361356e-002
6.000000e+004,2.999959e+002,-1.468002e-003,-2.989919e-002
6.500000e+004,2.999959e+002,-1.607054e-003,-2.677382e-002
7.000000e+004,3.000012e+002,-1.746350e-003,-2.404424e-002
7.000000e+004,2.999959e+002,-1.780625e-003,-2.446872e-002
6.523894e+004,2.999994e+002,-1.611172e-003,-2.542889e-002
6.022225e+004,3.000012e+002,-1.471365e-003,-2.892038e-002
