[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1654265175.331000 6/3/2022, 4:06:15 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, AP_FeTrz_AOT_120nm
INFO, WEIGHT, 4.610
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, Cu drut, w foli Al
INFO, SEQUENCE FILE: FC_FH_300-390.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1654265175.330,,1.000000e+003,2.999946e+002,4.678228e-005,1.520312e-008,-2.417562e-002,1.053690e-003,3,9.431939e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1654265285.772,,1.000000e+003,3.011040e+002,4.670864e-005,5.028090e-008,-2.311823e-002,2.247915e-004,3,9.439760e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.142029e-001,0,,0,
1654265340.209,,1.000000e+003,3.021143e+002,4.668240e-005,1.139594e-009,-2.487972e-002,1.075653e-004,3,9.431186e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.445068e-001,0,,0,
1654265394.940,,1.000000e+003,3.031428e+002,4.665743e-005,2.292045e-009,-2.559357e-002,2.698333e-004,3,9.436187e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.319031e-001,0,,0,
1654265447.413,,1.000000e+003,3.041278e+002,4.659759e-005,2.193262e-008,-2.560181e-002,9.156930e-004,3,9.435433e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.896057e-001,0,,0,
1654265502.600,,1.000000e+003,3.051160e+002,4.651779e-005,1.500247e-008,-2.540967e-002,1.818298e-003,3,9.433119e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.202759e-001,0,,0,
1654265561.037,,1.000000e+003,3.061555e+002,4.648811e-005,1.278245e-008,-2.688852e-002,1.922975e-003,3,9.431334e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.218933e-001,0,,0,
1654265616.226,,1.000000e+003,3.071319e+002,4.647645e-005,1.546036e-008,-2.671637e-002,8.201302e-004,3,9.448901e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.085876e-001,0,,0,
1654265673.413,,1.000000e+003,3.081149e+002,4.637693e-005,1.737426e-008,-2.687442e-002,2.093184e-004,3,9.429531e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.250977e-001,0,,0,
1654265735.850,,1.000000e+003,3.091840e+002,4.638059e-005,2.673279e-008,-2.721771e-002,3.676259e-004,3,9.439868e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.266846e-001,0,,0,
