[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1654297054.543000 6/4/2022, 12:57:34 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, AP_FeTrz_AOT_120nm
INFO, WEIGHT, 4.610
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, Cu drut, w foli Al
INFO, SEQUENCE FILE: FeTrz_HTvT_MCE.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1654297054.542,,0.000000e+000,4.000043e+002,-1.351779e-006,2.938088e-008,-1.627299e-001,4.995333e-002,3,8.883740e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.590942e-002,0,,0,
1654297118.732,,0.000000e+000,3.988779e+002,-1.357841e-006,1.820242e-008,-1.604311e-001,3.405908e-003,3,8.972363e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.447205e-001,0,,0,
1654297169.709,,0.000000e+000,3.977410e+002,-1.359060e-006,4.940442e-008,-1.712023e-001,1.395096e-002,3,8.830744e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.972778e-001,0,,0,
1654297198.418,,0.000000e+000,3.966385e+002,-1.358706e-006,2.971136e-008,-1.599314e-001,4.183212e-003,3,8.927000e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.865173e-001,0,,0,
1654297220.356,,0.000000e+000,3.954430e+002,-1.342852e-006,5.740792e-008,-1.500244e-001,2.822866e-002,3,8.926185e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.102966e-001,0,,0,
1654297235.793,,0.000000e+000,3.944811e+002,-1.358011e-006,2.765003e-008,-1.620804e-001,1.357650e-002,3,8.908958e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.573853e-001,0,,0,
1654297251.231,,0.000000e+000,3.934707e+002,-1.331424e-006,5.035550e-009,-1.622889e-001,1.339427e-004,3,8.862261e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.671021e-001,0,,0,
1654297267.254,,0.000000e+000,3.923439e+002,-1.378694e-006,2.225200e-008,-1.501499e-001,8.740403e-003,3,8.968170e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.861084e-001,0,,0,
1654297282.494,,0.000000e+000,3.912113e+002,-1.385659e-006,2.366982e-008,-1.503208e-001,6.193722e-003,3,8.933519e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.801025e-001,0,,0,
1654297298.681,,0.000000e+000,3.900269e+002,-1.349684e-006,1.126206e-008,-1.561948e-001,3.071650e-002,3,9.007287e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.620056e-001,0,,0,
