[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1657274938.969000 7/8/2022, 12:08:58 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, FeTrz_AOT_medium
INFO, WEIGHT, 3.740
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, w torebce papierowej, na drucie Cu
INFO, SEQUENCE FILE: FeTrz_HTvT_MCE_reverse.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1657274938.968,,7.000000e+004,4.000002e+002,6.681458e-003,3.207112e-007,-1.243588e-001,8.369311e-005,3,9.714098e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.300049e-002,0,,0,
1657275015.952,,7.000000e+004,3.988739e+002,6.697938e-003,7.698386e-007,-1.237491e-001,1.561699e-004,3,9.716008e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.316895e-001,0,,0,
1657275068.143,,7.000000e+004,3.977243e+002,6.713544e-003,3.676654e-006,-1.229098e-001,1.550530e-004,3,9.716654e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.356995e-001,0,,0,
1657275092.879,,7.000000e+004,3.966762e+002,6.726738e-003,1.837998e-006,-1.219818e-001,2.034060e-004,3,9.717674e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.120911e-001,0,,0,
1657275115.569,,7.000000e+004,3.954617e+002,6.742846e-003,4.106354e-006,-1.210620e-001,1.385578e-004,3,9.717733e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.372192e-001,0,,0,
1657275131.027,,7.000000e+004,3.943262e+002,6.754961e-003,5.794204e-006,-1.203089e-001,1.845452e-004,3,9.718940e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.957825e-001,0,,0,
1657275146.221,,7.000000e+004,3.933041e+002,6.768282e-003,4.701678e-006,-1.195965e-001,2.079684e-004,3,9.718506e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.034119e-001,0,,0,
1657275161.216,,7.000000e+004,3.921347e+002,6.781473e-003,4.851497e-006,-1.188064e-001,1.596733e-004,3,9.718686e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.976196e-001,0,,0,
1657275176.943,,7.000000e+004,3.909632e+002,6.795771e-003,3.459005e-006,-1.182547e-001,3.158643e-004,3,9.719619e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.043884e-001,0,,0,
1657275192.423,,7.000000e+004,3.898421e+002,6.810962e-003,5.790911e-006,-1.176003e-001,1.978373e-004,3,9.718883e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.991089e-001,0,,0,
