[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1654679784.330000 6/8/2022, 11:16:24 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, AP_FeTrz_trt_big
INFO, WEIGHT, 6.600
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, na Cu drutu, w foli Al
INFO, SEQUENCE FILE: FC_FH_300-390.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1654679784.329,,1.000000e+003,2.999981e+002,4.101315e-005,4.416879e-009,-3.205599e-002,4.011853e-005,3,9.434696e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1654679896.579,,1.000000e+003,3.011147e+002,4.093155e-005,7.894817e-009,-3.003811e-002,1.622153e-004,3,9.424504e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.285156e-001,0,,0,
1654679951.089,,1.000000e+003,3.021215e+002,4.091299e-005,4.791426e-008,-3.168267e-002,8.529732e-005,3,9.425594e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.445068e-001,0,,0,
1654680005.296,,1.000000e+003,3.031356e+002,4.084411e-005,2.759713e-008,-3.302720e-002,4.630464e-004,3,9.432359e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.319031e-001,0,,0,
1654680058.483,,1.000000e+003,3.041205e+002,4.077659e-005,5.880082e-008,-3.193814e-002,6.245268e-004,3,9.422966e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.188110e-001,0,,0,
1654680114.429,,1.000000e+003,3.051270e+002,4.066811e-005,4.013777e-008,-3.200895e-002,7.065129e-004,3,9.425862e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.349854e-001,0,,0,
1654680171.367,,1.000000e+003,3.061481e+002,4.064581e-005,1.989010e-008,-3.283670e-002,5.300783e-004,3,9.416992e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.366943e-001,0,,0,
1654680226.304,,1.000000e+003,3.071169e+002,4.059679e-005,2.258602e-009,-3.273994e-002,1.618621e-003,3,9.415947e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.086182e-001,0,,0,
1654680286.742,,1.000000e+003,3.081636e+002,4.055700e-005,1.200558e-008,-3.403375e-002,9.996863e-004,3,9.418938e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.401123e-001,0,,0,
1654680343.685,,1.000000e+003,3.091462e+002,4.050819e-005,4.176356e-008,-3.262889e-002,9.501980e-004,3,9.408433e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.964111e-001,0,,0,
1654680404.128,,1.000000e+003,3.101545e+002,4.047290e-005,4.697789e-008,-3.448205e-002,7.678997e-004,3,9.416332e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.826172e-001,0,,0,
1654680462.890,,1.000000e+003,3.111431e+002,4.042481e-005,1.615235e-008,-3.507658e-002,7.193282e-004,3,9.413999e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.990967e-001,0,,0,
1654680520.896,,1.000000e+003,3.121269e+002,4.037292e-005,5.420131e-009,-3.503314e-002,4.347579e-004,3,9.419136e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.158813e-001,0,,0,
1654680582.334,,1.000000e+003,3.131289e+002,4.030552e-005,2.747623e-008,-3.637759e-002,7.242172e-004,3,9.414678e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.019043e-001,0,,0,
1654680642.271,,1.000000e+003,3.141301e+002,4.023235e-005,1.580764e-008,-3.458720e-002,1.304005e-003,3,9.417284e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.033081e-001,0,,0,
1654680703.959,,1.000000e+003,3.151500e+002,4.022716e-005,7.166816e-009,-3.575502e-002,1.614314e-003,3,9.419420e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.203979e-001,0,,0,
1654680761.955,,1.000000e+003,3.161294e+002,4.023372e-005,6.971311e-009,-3.598487e-002,1.328477e-003,3,9.409937e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.901855e-001,0,,0,
1654680820.455,,1.000000e+003,3.171073e+002,4.016364e-005,4.059309e-009,-3.772336e-002,4.014277e-004,3,9.410285e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.233887e-001,0,,0,
1654680882.893,,1.000000e+003,3.181439e+002,4.008673e-005,3.443210e-008,-3.727152e-002,8.624299e-004,3,9.414864e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.088013e-001,0,,0,
1654680941.402,,1.000000e+003,3.191271e+002,4.006012e-005,1.548094e-008,-3.822655e-002,1.878222e-004,3,9.407337e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.102966e-001,0,,0,
