[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1656688876.396000 7/1/2022, 5:21:16 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, FeTrz_Trt_big
INFO, WEIGHT, 6.310
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, w torebce papierowej, na drucie Cu
INFO, SEQUENCE FILE: FeTrz_HTvT_MCE_reverse.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1656688876.396,,7.000000e+004,4.000002e+002,9.037551e-003,3.292723e-007,-1.388583e-001,5.793084e-005,3,9.801284e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.300049e-002,0,,0,
1656688952.586,,7.000000e+004,3.988835e+002,9.066259e-003,3.018768e-006,-1.380181e-001,2.729009e-005,3,9.803242e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.674194e-001,0,,0,
1656689007.775,,7.000000e+004,3.977852e+002,9.094227e-003,5.277576e-006,-1.371916e-001,3.059334e-004,3,9.805422e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.970947e-001,0,,0,
1656689035.713,,7.000000e+004,3.966666e+002,9.114775e-003,5.228843e-006,-1.361661e-001,1.212881e-004,3,9.806080e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.228882e-001,0,,0,
1656689059.208,,7.000000e+004,3.954077e+002,9.137772e-003,3.858412e-006,-1.352284e-001,3.581112e-004,3,9.808182e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.355957e-001,0,,0,
1656689073.934,,7.000000e+004,3.945028e+002,9.155093e-003,4.719789e-006,-1.345652e-001,3.083674e-004,3,9.807935e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.206177e-001,0,,0,
1656689089.404,,7.000000e+004,3.934140e+002,9.173084e-003,8.922620e-006,-1.334793e-001,2.954178e-004,3,9.808666e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.042206e+000,0,,0,
1656689104.591,,7.000000e+004,3.923686e+002,9.194489e-003,4.817912e-006,-1.328122e-001,3.805544e-004,3,9.808446e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.860779e-001,0,,0,
1656689118.028,,7.000000e+004,3.913011e+002,9.210825e-003,6.890351e-006,-1.319972e-001,2.765255e-004,3,9.808766e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.559021e-001,0,,0,
1656689132.771,,7.000000e+004,3.902829e+002,9.228013e-003,4.819887e-006,-1.313412e-001,2.240843e-004,3,9.811097e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.269043e-001,0,,0,
1656689147.517,,7.000000e+004,3.893253e+002,9.244276e-003,3.716167e-006,-1.307320e-001,1.605900e-004,3,9.810461e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.106995e-001,0,,0,
1656689161.527,,7.000000e+004,3.883911e+002,9.260496e-003,4.952913e-006,-1.300072e-001,2.285308e-004,3,9.808697e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.679199e-001,0,,0,
1656689176.964,,7.000000e+004,3.874766e+002,9.274786e-003,5.507408e-006,-1.293893e-001,2.501942e-004,3,9.809085e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.540894e-001,0,,0,
1656689193.401,,7.000000e+004,3.865002e+002,9.289525e-003,5.410602e-006,-1.287171e-001,2.991057e-004,3,9.809701e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.833008e-001,0,,0,
