[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1654705912.056000 6/8/2022, 6:31:52 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, AP_FeTrz_trt_medium
INFO, WEIGHT, 5.440
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, na Cu drutu, w foli Al, medium - 55 nm
INFO, SEQUENCE FILE: FC_FH_300-390.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1654705912.055,,1.000000e+003,3.000034e+002,4.492341e-005,3.839366e-008,-2.028146e-002,8.758247e-005,3,9.468756e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.120972e-002,0,,0,
1654706020.747,,1.000000e+003,3.011594e+002,4.484083e-005,4.875030e-008,-2.080627e-002,3.594665e-004,3,9.467242e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.357178e-001,0,,0,
1654706070.684,,1.000000e+003,3.021485e+002,4.474737e-005,4.759013e-009,-2.146966e-002,6.436298e-004,3,9.459924e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.876892e-001,0,,0,
1654706120.626,,1.000000e+003,3.031718e+002,4.464213e-005,7.336598e-009,-2.161333e-002,3.627263e-005,3,9.458905e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.042908e-001,0,,0,
1654706170.563,,1.000000e+003,3.041388e+002,4.464341e-005,1.977434e-008,-2.378275e-002,1.539449e-003,3,9.467633e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.479858e-001,0,,0,
1654706226.000,,1.000000e+003,3.051381e+002,4.457265e-005,1.153996e-008,-2.362829e-002,6.091536e-004,3,9.461606e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.056885e-001,0,,0,
1654706285.947,,1.000000e+003,3.061222e+002,4.455642e-005,8.772056e-010,-2.374614e-002,4.189423e-004,3,9.466836e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.923218e-001,0,,0,
1654706347.684,,1.000000e+003,3.071300e+002,4.446258e-005,9.749546e-009,-2.529071e-002,6.677865e-004,3,9.462326e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.160034e-001,0,,0,
1654706409.122,,1.000000e+003,3.081093e+002,4.442814e-005,6.930152e-009,-2.572290e-002,3.678511e-004,3,9.460651e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.950073e-001,0,,0,
1654706472.310,,1.000000e+003,3.091481e+002,4.437800e-005,2.068499e-008,-2.483481e-002,8.328507e-004,3,9.463433e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.040100e-001,0,,0,
