[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1654850335.798000 6/10/2022, 10:38:55 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, AP_FeTrz_trt_small
INFO, WEIGHT, 4.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, na Cu drutu, w foli Al
INFO, SEQUENCE FILE: FC_FH_300-390.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1654850335.798,,1.000000e+003,3.000016e+002,3.688359e-005,2.904285e-009,-5.736395e-003,7.152274e-004,3,9.390391e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1654850448.238,,1.000000e+003,3.011255e+002,3.685967e-005,4.807118e-008,-1.003214e-002,5.307671e-004,3,9.397932e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.427979e-001,0,,0,
1654850502.676,,1.000000e+003,3.021215e+002,3.683095e-005,3.959499e-008,-6.035130e-003,1.163078e-004,3,9.389184e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.156982e-001,0,,0,
1654850557.613,,1.000000e+003,3.031356e+002,3.683159e-005,4.967380e-008,-7.292954e-003,2.810658e-004,3,9.397268e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.317810e-001,0,,0,
1654850612.335,,1.000000e+003,3.041424e+002,3.674224e-005,2.766401e-008,-7.236742e-003,3.917767e-004,3,9.385765e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.479858e-001,0,,0,
1654850667.804,,1.000000e+003,3.051454e+002,3.674234e-005,5.875709e-008,-8.022808e-003,7.188708e-004,3,9.401902e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.497864e-001,0,,0,
1654850724.529,,1.000000e+003,3.061444e+002,3.670334e-005,2.976314e-009,-8.726929e-003,1.364495e-003,3,9.389763e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.366943e-001,0,,0,
1654850780.717,,1.000000e+003,3.071244e+002,3.669568e-005,9.618351e-009,-8.041345e-003,4.452064e-004,3,9.391188e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.384033e-001,0,,0,
1654850839.154,,1.000000e+003,3.081336e+002,3.667887e-005,2.711351e-009,-9.571889e-003,2.392202e-004,3,9.386461e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.401123e-001,0,,0,
1654850897.841,,1.000000e+003,3.091348e+002,3.666195e-005,7.614421e-010,-9.141077e-003,1.146403e-003,3,9.386781e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.116089e-001,0,,0,
