[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1698355527.984000 10/26/2023, 11:25:27 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, STO-N11-12p5g-15a-600C-vac-old
INFO, WEIGHT, 98.480
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MvsH-full_mod_MvT.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1698355527.984,,0.000000e+000,3.000012e+002,9.010284e-007,3.389137e-008,6.223416e-002,2.849491e-002,3,7.250961e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1698355551.421,,5.047331e+001,3.000012e+002,4.894460e-006,1.436045e-007,1.271647e-001,1.083556e-002,3,9.276184e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1698355581.914,,1.006840e+002,2.999977e+002,8.457439e-006,3.854993e-008,1.520372e-001,2.774358e-003,3,9.581116e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698355655.693,,2.011638e+002,2.999977e+002,1.613293e-005,2.079522e-007,1.539582e-001,6.050433e-003,3,9.597143e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698355689.221,,3.014541e+002,3.000012e+002,2.343455e-005,2.430698e-007,1.619378e-001,3.766516e-003,3,9.663175e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1698355717.930,,4.019338e+002,2.999994e+002,3.053385e-005,2.853787e-007,1.725641e-001,6.732643e-004,3,9.580959e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698355741.615,,5.023846e+002,2.999994e+002,3.731262e-005,3.623307e-007,1.733118e-001,8.557117e-003,3,9.643795e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698355781.297,,6.027621e+002,2.999994e+002,4.410690e-005,1.389323e-007,1.834643e-001,1.365347e-004,3,9.662400e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698355803.037,,7.030231e+002,2.999977e+002,5.039840e-005,1.020397e-006,1.924292e-001,3.007831e-003,3,9.614052e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698355825.222,,8.034592e+002,3.000012e+002,5.642252e-005,1.364970e-006,1.919440e-001,8.115407e-003,3,9.530586e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1698355847.657,,9.038223e+002,2.999994e+002,5.965611e-005,5.926901e-009,2.167552e-001,1.579775e-002,3,9.366379e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698355880.935,,1.004331e+003,2.999977e+002,6.463411e-005,1.245575e-007,2.134681e-001,1.202439e-003,3,9.661373e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
