[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1698323315.732000 10/26/2023, 2:28:35 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, STO-N11-12p5g-15a-600C-vac-old
INFO, WEIGHT, 98.480
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: MvsH-new-full_only_NO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1698323315.732,,0.000000e+000,2.999906e+002,1.419984e-006,3.551735e-009,6.831392e-003,1.117052e-003,3,9.087372e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.019043e-003,0,,0,
1698323423.944,,5.000000e+001,3.000012e+002,3.491720e-006,7.462486e-009,5.655059e-003,3.718473e-003,3,9.592898e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1698323539.384,,1.000000e+002,2.999994e+002,5.710787e-006,5.226875e-009,-1.893821e-003,3.407455e-003,3,9.679669e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698323661.369,,2.000000e+002,3.000012e+002,1.073553e-005,2.011905e-008,-2.781074e-003,9.367135e-004,3,9.785004e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1698323782.560,,3.000000e+002,2.999959e+002,1.562723e-005,3.338641e-008,3.469156e-003,6.629270e-004,3,9.808353e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698323905.251,,4.000000e+002,2.999994e+002,1.989621e-005,3.273172e-008,4.483621e-003,6.210931e-004,3,9.822398e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698324027.192,,5.000000e+002,2.999959e+002,2.414871e-005,8.045304e-009,7.686894e-003,1.451475e-003,3,9.813502e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698324148.160,,6.000000e+002,2.999994e+002,2.823411e-005,4.212627e-008,1.105742e-002,5.367224e-004,3,9.819154e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698324264.351,,7.000000e+002,2.999977e+002,3.150823e-005,2.839716e-008,1.286510e-002,1.855681e-003,3,9.819822e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.409912e-002,0,,0,
1698324379.357,,8.000000e+002,2.999959e+002,3.400833e-005,7.434395e-010,1.460738e-002,8.362554e-004,3,9.798132e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698324501.608,,9.000000e+002,2.999959e+002,3.612726e-005,6.595735e-009,1.524113e-002,2.783990e-004,3,9.809166e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698324623.299,,1.000000e+003,2.999994e+002,3.796937e-005,1.917471e-007,1.650769e-002,3.119170e-004,3,9.822363e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698324751.492,,1.250000e+003,2.999959e+002,4.129986e-005,1.212133e-007,1.938993e-002,5.778886e-004,3,9.815466e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698324872.227,,1.500000e+003,2.999994e+002,4.246536e-005,4.918762e-008,2.348077e-002,5.270569e-004,3,9.814715e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698325012.644,,1.750000e+003,3.000012e+002,4.203853e-005,6.623517e-008,2.845128e-002,3.720155e-003,3,9.816285e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1698325140.835,,2.000000e+003,3.000012e+002,4.057826e-005,1.055420e-007,3.179036e-002,7.290641e-004,3,9.788610e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1698325263.099,,2.250000e+003,2.999994e+002,3.854974e-005,7.247591e-008,3.856404e-002,1.774282e-003,3,9.791701e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698325384.790,,2.500000e+003,2.999977e+002,3.585014e-005,2.873903e-007,4.923275e-002,2.816200e-005,3,9.724658e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698325506.481,,2.750000e+003,2.999994e+002,3.290086e-005,1.117391e-007,5.224414e-002,4.257640e-003,3,9.756246e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
1698325629.193,,3.000000e+003,3.000012e+002,2.940237e-005,6.157006e-008,6.550306e-002,8.609916e-004,3,9.695011e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,0.000000e+000,0,,0,
1698325762.135,,4.000000e+003,2.999994e+002,1.285757e-005,2.200362e-007,1.938099e-001,1.016421e-002,3,8.853070e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.080078e-003,0,,0,
