Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
0.000000e+000,2.999906e+002,1.419984e-006,6.831392e-003
5.000000e+001,3.000012e+002,3.491720e-006,5.655059e-003
1.000000e+002,2.999994e+002,5.710787e-006,-1.893821e-003
2.000000e+002,3.000012e+002,1.073553e-005,-2.781074e-003
3.000000e+002,2.999959e+002,1.562723e-005,3.469156e-003
4.000000e+002,2.999994e+002,1.989621e-005,4.483621e-003
5.000000e+002,2.999959e+002,2.414871e-005,7.686894e-003
6.000000e+002,2.999994e+002,2.823411e-005,1.105742e-002
7.000000e+002,2.999977e+002,3.150823e-005,1.286510e-002
8.000000e+002,2.999959e+002,3.400833e-005,1.460738e-002
9.000000e+002,2.999959e+002,3.612726e-005,1.524113e-002
1.000000e+003,2.999994e+002,3.796937e-005,1.650769e-002
1.250000e+003,2.999959e+002,4.129986e-005,1.938993e-002
1.500000e+003,2.999994e+002,4.246536e-005,2.348077e-002
1.750000e+003,3.000012e+002,4.203853e-005,2.845128e-002
2.000000e+003,3.000012e+002,4.057826e-005,3.179036e-002
2.250000e+003,2.999994e+002,3.854974e-005,3.856404e-002
2.500000e+003,2.999977e+002,3.585014e-005,4.923275e-002
2.750000e+003,2.999994e+002,3.290086e-005,5.224414e-002
3.000000e+003,3.000012e+002,2.940237e-005,6.550306e-002
4.000000e+003,2.999994e+002,1.285757e-005,1.938099e-001
5.000000e+003,3.000012e+002,-9.859221e-006,-3.185832e-001
6.000000e+003,2.999977e+002,-3.220686e-005,-1.119743e-001
7.000000e+003,2.999977e+002,-5.695202e-005,-6.614728e-002
8.000000e+003,2.999959e+002,-8.254459e-005,-5.050734e-002
9.000000e+003,2.999994e+002,-1.090080e-004,-3.953182e-002
1.000000e+004,2.999994e+002,-1.357634e-004,-3.398030e-002
1.500000e+004,2.999977e+002,-2.730037e-004,-2.212154e-002
2.000000e+004,2.999994e+002,-4.115826e-004,-1.589471e-002
2.500000e+004,2.999977e+002,-5.511235e-004,-1.292886e-002
3.000000e+004,2.999977e+002,-6.907568e-004,-1.250490e-002
3.500000e+004,2.999977e+002,-8.449127e-004,9.502793e-003
4.000000e+004,2.999977e+002,-9.844967e-004,8.987633e-003
4.500000e+004,3.000012e+002,-1.124532e-003,8.331043e-003
5.000000e+004,2.999994e+002,-1.263978e-003,7.719313e-003
5.500000e+004,2.999959e+002,-1.403803e-003,7.652082e-003
6.000000e+004,3.000012e+002,-1.543541e-003,7.340251e-003
6.500000e+004,2.999994e+002,-1.683065e-003,7.198884e-003
7.000000e+004,3.000012e+002,-1.750493e-003,-2.149072e-002
6.500000e+004,2.999994e+002,-1.610387e-003,-2.367138e-002
5.500000e+004,2.999994e+002,-1.330637e-003,-2.952514e-002
4.500000e+004,2.999977e+002,-1.051431e-003,-3.758652e-002
3.500000e+004,2.999994e+002,-7.731017e-004,-5.045912e-002
2.500000e+004,3.000012e+002,-4.951515e-004,-7.719842e-002
1.500000e+004,2.999994e+002,-2.221726e-004,-1.656588e-001
1.000000e+004,2.999994e+002,-9.792115e-005,-3.808408e-001
9.000000e+003,2.999977e+002,-7.880673e-005,-4.989506e-001
8.000000e+003,3.000012e+002,-6.449669e-005,-6.795200e-001
7.000000e+003,3.000030e+002,6.882871e-005,8.958552e-001
6.000000e+003,2.999994e+002,7.183598e-005,6.985283e-001
5.000000e+003,2.999977e+002,7.969167e-005,5.432453e-001
4.000000e+003,2.999994e+002,8.885353e-005,4.343638e-001
3.000000e+003,3.000012e+002,9.456450e-005,3.545992e-001
2.750000e+003,3.000012e+002,9.525041e-005,3.390325e-001
2.500000e+003,2.999959e+002,9.526537e-005,3.231923e-001
2.250000e+003,3.000012e+002,9.429672e-005,3.075742e-001
2.000000e+003,2.999994e+002,9.274471e-005,2.915667e-001
1.750000e+003,2.999941e+002,9.028499e-005,2.722599e-001
1.500000e+003,2.999959e+002,8.591088e-005,2.547263e-001
1.250000e+003,2.999994e+002,7.966071e-005,2.349804e-001
1.000000e+003,3.000012e+002,7.168598e-005,2.105032e-001
9.000000e+002,2.999941e+002,6.865853e-005,2.002167e-001
8.000000e+002,2.999977e+002,6.499901e-005,1.858417e-001
7.000000e+002,3.000012e+002,6.091379e-005,1.761452e-001
6.000000e+002,2.999977e+002,5.673723e-005,1.623644e-001
5.000000e+002,3.000012e+002,5.205344e-005,1.494513e-001
4.000000e+002,3.000012e+002,4.692919e-005,1.358800e-001
3.000000e+002,2.999977e+002,4.211944e-005,1.084789e-001
2.000000e+002,2.999977e+002,3.519825e-005,9.984671e-002
1.000000e+002,3.000012e+002,2.700384e-005,7.830712e-002
7.500000e+001,3.000012e+002,2.458271e-005,6.939042e-002
5.000000e+001,3.000012e+002,2.235231e-005,6.692921e-002
2.500000e+001,2.999977e+002,1.989141e-005,5.382662e-002
0.000000e+000,2.999977e+002,1.728831e-005,3.716085e-002
-2.500000e+001,2.999959e+002,1.481234e-005,2.267303e-002
-5.000000e+001,2.999977e+002,1.242069e-005,5.138972e-003
-7.500000e+001,2.999977e+002,9.605219e-006,-3.634770e-002
-1.000000e+002,2.999994e+002,7.220880e-006,-8.688833e-002
-2.000000e+002,3.000012e+002,-4.991255e-006,6.137129e-001
-3.000000e+002,2.999959e+002,-1.334852e-005,2.840061e-001
-4.000000e+002,2.999995e+002,-2.236082e-005,2.450429e-001
-5.000000e+002,3.000012e+002,-3.067020e-005,2.285718e-001
-6.000000e+002,3.000012e+002,-3.812053e-005,2.268950e-001
-7.000000e+002,3.000012e+002,-4.491868e-005,2.288552e-001
-8.000000e+002,3.000012e+002,-5.131622e-005,2.302719e-001
-9.000000e+002,3.000012e+002,-5.685367e-005,2.327597e-001
-1.000000e+003,3.000012e+002,-6.196411e-005,2.387702e-001
-1.250000e+003,2.999994e+002,-7.239672e-005,2.553064e-001
-1.500000e+003,2.999977e+002,-8.053488e-005,2.722279e-001
-1.750000e+003,3.000012e+002,-8.624786e-005,2.874672e-001
-2.000000e+003,3.000012e+002,-8.971505e-005,3.019240e-001
-2.250000e+003,2.999959e+002,-9.176502e-005,3.162949e-001
