Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
0.000000e+000,4.000043e+002,-1.351779e-006,-1.627299e-001
0.000000e+000,3.988779e+002,-1.357841e-006,-1.604311e-001
0.000000e+000,3.977410e+002,-1.359060e-006,-1.712023e-001
0.000000e+000,3.966385e+002,-1.358706e-006,-1.599314e-001
0.000000e+000,3.954430e+002,-1.342852e-006,-1.500244e-001
0.000000e+000,3.944811e+002,-1.358011e-006,-1.620804e-001
0.000000e+000,3.934707e+002,-1.331424e-006,-1.622889e-001
0.000000e+000,3.923439e+002,-1.378694e-006,-1.501499e-001
0.000000e+000,3.912113e+002,-1.385659e-006,-1.503208e-001
0.000000e+000,3.900269e+002,-1.349684e-006,-1.561948e-001
0.000000e+000,3.889878e+002,-1.390022e-006,-1.514044e-001
0.000000e+000,3.879636e+002,-1.368500e-006,-1.562695e-001
0.000000e+000,3.870785e+002,-1.384197e-006,-1.511658e-001
0.000000e+000,3.861342e+002,-1.391848e-006,-1.560840e-001
0.000000e+000,3.852546e+002,-1.351487e-006,-1.460510e-001
0.000000e+000,3.844331e+002,-1.395052e-006,-1.545359e-001
0.000000e+000,3.836063e+002,-1.359524e-006,-1.386173e-001
0.000000e+000,3.826143e+002,-1.390199e-006,-1.534674e-001
0.000000e+000,3.816895e+002,-1.418142e-006,-1.565776e-001
0.000000e+000,3.807957e+002,-1.400321e-006,-1.474619e-001
0.000000e+000,3.799150e+002,-1.385012e-006,-1.425308e-001
0.000000e+000,3.786731e+002,-1.402460e-006,-1.582095e-001
0.000000e+000,3.775058e+002,-1.417287e-006,-1.572133e-001
0.000000e+000,3.765551e+002,-1.394916e-006,-1.594613e-001
0.000000e+000,3.754981e+002,-1.413546e-006,-1.451405e-001
0.000000e+000,3.743426e+002,-1.417246e-006,-1.465038e-001
0.000000e+000,3.732282e+002,-1.402577e-006,-1.295331e-001
0.000000e+000,3.719894e+002,-1.467194e-006,-1.574446e-001
0.000000e+000,3.708896e+002,-1.419518e-006,-1.374671e-001
0.000000e+000,3.697633e+002,-1.409258e-006,-1.373928e-001
0.000000e+000,3.687512e+002,-1.430164e-006,-1.425923e-001
0.000000e+000,3.677257e+002,-1.414452e-006,-1.437232e-001
0.000000e+000,3.668011e+002,-1.407319e-006,-1.388944e-001
0.000000e+000,3.659380e+002,-1.409597e-006,-1.367386e-001
0.000000e+000,3.651221e+002,-1.438394e-006,-1.277557e-001
0.000000e+000,3.643770e+002,-1.400054e-006,-1.514334e-001
0.000000e+000,3.635870e+002,-1.412060e-006,-1.315531e-001
0.000000e+000,3.626788e+002,-1.411217e-006,-1.400097e-001
