Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
7.000000e+004,4.000002e+002,6.681458e-003,-1.243588e-001
7.000000e+004,3.988739e+002,6.697938e-003,-1.237491e-001
7.000000e+004,3.977243e+002,6.713544e-003,-1.229098e-001
7.000000e+004,3.966762e+002,6.726738e-003,-1.219818e-001
7.000000e+004,3.954617e+002,6.742846e-003,-1.210620e-001
7.000000e+004,3.943262e+002,6.754961e-003,-1.203089e-001
7.000000e+004,3.933041e+002,6.768282e-003,-1.195965e-001
7.000000e+004,3.921347e+002,6.781473e-003,-1.188064e-001
7.000000e+004,3.909632e+002,6.795771e-003,-1.182547e-001
7.000000e+004,3.898421e+002,6.810962e-003,-1.176003e-001
7.000000e+004,3.886908e+002,6.823774e-003,-1.169507e-001
7.000000e+004,3.876166e+002,6.836410e-003,-1.161062e-001
7.000000e+004,3.865635e+002,6.847925e-003,-1.157515e-001
7.000000e+004,3.856370e+002,6.856862e-003,-1.151350e-001
7.000000e+004,3.847600e+002,6.867914e-003,-1.146594e-001
7.000000e+004,3.838959e+002,6.877450e-003,-1.143720e-001
7.000000e+004,3.831667e+002,6.884227e-003,-1.140388e-001
7.000000e+004,3.825113e+002,6.893774e-003,-1.138023e-001
7.000000e+004,3.815487e+002,6.902778e-003,-1.134826e-001
7.000000e+004,3.807408e+002,6.912259e-003,-1.132512e-001
7.000000e+004,3.798634e+002,6.924329e-003,-1.134228e-001
7.000000e+004,3.786683e+002,6.952659e-003,-1.156799e-001
7.000000e+004,3.776509e+002,6.965150e-003,-1.152282e-001
7.000000e+004,3.762585e+002,6.979911e-003,-1.143590e-001
7.000000e+004,3.752289e+002,6.991738e-003,-1.139608e-001
7.000000e+004,3.738719e+002,7.006344e-003,-1.130229e-001
7.000000e+004,3.728054e+002,7.019070e-003,-1.125643e-001
7.000000e+004,3.715167e+002,7.031713e-003,-1.118843e-001
7.000000e+004,3.704447e+002,7.043207e-003,-1.111850e-001
7.000000e+004,3.692747e+002,7.052969e-003,-1.106171e-001
7.000000e+004,3.682134e+002,7.063102e-003,-1.099392e-001
7.000000e+004,3.671559e+002,7.071192e-003,-1.093900e-001
7.000000e+004,3.662858e+002,7.078005e-003,-1.088331e-001
7.000000e+004,3.654279e+002,7.084057e-003,-1.084948e-001
7.000000e+004,3.645368e+002,7.091102e-003,-1.080148e-001
7.000000e+004,3.638475e+002,7.096277e-003,-1.076454e-001
7.000000e+004,3.630388e+002,7.101423e-003,-1.072715e-001
7.000000e+004,3.623951e+002,7.103157e-003,-1.068776e-001
7.000000e+004,3.617958e+002,7.106186e-003,-1.066385e-001
7.000000e+004,3.608156e+002,7.109661e-003,-1.062643e-001
7.000000e+004,3.599636e+002,7.109387e-003,-1.065517e-001
7.000000e+004,3.586185e+002,7.119167e-003,-1.081267e-001
7.000000e+004,3.575665e+002,7.123038e-003,-1.077655e-001
7.000000e+004,3.565488e+002,7.124307e-003,-1.070893e-001
7.000000e+004,3.553979e+002,7.123379e-003,-1.063047e-001
7.000000e+004,3.543301e+002,7.122279e-003,-1.057672e-001
7.000000e+004,3.531089e+002,7.113967e-003,-1.048248e-001
7.000000e+004,3.518416e+002,7.098103e-003,-1.040640e-001
7.000000e+004,3.507589e+002,7.064386e-003,-1.030912e-001
7.000000e+004,3.497154e+002,6.988417e-003,-1.019769e-001
7.000000e+004,3.487025e+002,6.812162e-003,-1.005286e-001
7.000000e+004,3.478585e+002,6.460166e-003,-9.822626e-002
7.000000e+004,3.468547e+002,5.815221e-003,-9.335472e-002
7.000000e+004,3.460942e+002,5.164605e-003,-8.674300e-002
7.000000e+004,3.453470e+002,4.530595e-003,-7.718224e-002
7.000000e+004,3.445699e+002,3.728639e-003,-5.781622e-002
7.000000e+004,3.435316e+002,2.743772e-003,-7.649614e-003
7.000000e+004,3.427394e+002,2.581299e-003,5.705072e-003
7.000000e+004,3.417850e+002,2.570118e-003,6.176005e-003
7.000000e+004,3.408339e+002,2.548386e-003,5.680326e-003
7.000000e+004,3.396392e+002,2.544881e-003,6.909040e-003
7.000000e+004,3.384120e+002,2.564658e-003,1.021988e-002
7.000000e+004,3.374648e+002,2.536614e-003,1.090978e-002
7.000000e+004,3.364371e+002,2.549629e-003,2.898248e-004
7.000000e+004,3.353286e+002,2.525759e-003,7.430212e-003
7.000000e+004,3.343705e+002,2.545262e-003,1.162997e-002
7.000000e+004,3.332629e+002,2.503874e-003,6.944441e-003
7.000000e+004,3.322158e+002,2.549204e-003,1.311608e-002
7.000000e+004,3.311275e+002,2.532828e-003,1.253026e-002
7.000000e+004,3.301490e+002,2.489293e-003,4.957067e-003
7.000000e+004,3.292563e+002,2.519422e-003,1.282365e-002
7.000000e+004,3.283474e+002,2.531613e-003,1.439574e-002
7.000000e+004,3.275248e+002,2.500021e-003,7.649811e-003
7.000000e+004,3.265963e+002,2.509832e-003,1.279277e-002
7.000000e+004,3.257366e+002,2.509363e-003,1.349050e-002
7.000000e+004,3.247075e+002,2.539287e-003,1.696945e-002
7.000000e+004,3.238459e+002,2.517452e-003,1.466654e-002
7.000000e+004,3.229766e+002,2.513283e-003,1.236444e-002
7.000000e+004,3.217829e+002,2.537028e-003,1.625645e-002
7.000000e+004,3.205721e+002,2.529819e-003,1.729662e-002
7.000000e+004,3.194903e+002,2.539776e-003,1.508430e-002
7.000000e+004,3.185310e+002,2.540092e-003,1.810854e-002
7.000000e+004,3.175638e+002,2.539871e-003,1.230676e-002
7.000000e+004,3.164837e+002,2.533545e-003,1.900047e-002
7.000000e+004,3.154565e+002,2.528220e-003,1.577278e-002
7.000000e+004,3.143368e+002,2.547340e-003,1.147199e-002
7.000000e+004,3.134432e+002,2.536335e-003,2.036424e-002
7.000000e+004,3.124797e+002,2.526924e-003,1.943079e-002
7.000000e+004,3.115857e+002,2.557542e-003,1.955631e-002
7.000000e+004,3.106133e+002,2.542255e-003,1.822549e-002
7.000000e+004,3.095905e+002,2.536742e-003,6.194327e-003
7.000000e+004,3.087084e+002,2.550318e-003,1.996615e-002
7.000000e+004,3.078130e+002,2.546306e-003,1.803110e-002
7.000000e+004,3.068098e+002,2.536547e-003,2.003371e-002
7.000000e+004,3.059207e+002,2.564494e-003,1.654043e-002
7.000000e+004,3.048463e+002,2.535585e-003,1.136883e-002
7.000000e+004,3.037510e+002,2.608609e-003,8.366844e-003
7.000000e+004,3.026118e+002,2.553215e-003,2.341315e-002
7.000000e+004,3.015586e+002,2.550171e-003,2.297243e-002
7.000000e+004,3.001172e+002,2.555125e-003,2.409612e-002
7.000000e+004,3.001154e+002,2.553372e-003,2.341868e-002
7.000000e+004,3.000463e+002,2.552232e-003,2.452003e-002
7.000000e+004,3.012526e+002,2.550690e-003,2.349903e-002
7.000000e+004,3.023035e+002,2.546557e-003,2.263373e-002
7.000000e+004,3.033460e+002,2.547887e-003,1.630418e-002
7.000000e+004,3.043433e+002,2.541488e-003,1.684379e-002
7.000000e+004,3.053016e+002,2.540342e-003,2.062814e-002
7.000000e+004,3.063461e+002,2.546164e-003,2.124084e-002
7.000000e+004,3.073181e+002,2.522860e-003,1.485859e-002
7.000000e+004,3.082685e+002,2.512934e-003,1.789423e-002
7.000000e+004,3.092971e+002,2.535009e-003,1.552390e-002
7.000000e+004,3.102416e+002,2.526932e-003,1.820804e-002
7.000000e+004,3.112709e+002,2.529304e-003,1.746837e-002
7.000000e+004,3.122806e+002,2.517791e-003,1.496994e-002
7.000000e+004,3.132739e+002,2.517377e-003,1.622466e-002
7.000000e+004,3.142291e+002,2.527916e-003,1.270798e-002
7.000000e+004,3.152790e+002,2.527424e-003,1.038898e-002
7.000000e+004,3.162711e+002,2.518647e-003,1.483978e-002
7.000000e+004,3.172719e+002,2.501086e-003,8.409377e-003
7.000000e+004,3.182814e+002,2.506356e-003,1.295772e-002
7.000000e+004,3.192512e+002,2.515922e-003,1.417005e-002
7.000000e+004,3.202661e+002,2.506530e-003,1.192993e-002
7.000000e+004,3.214582e+002,2.513450e-003,9.611079e-003
7.000000e+004,3.222279e+002,2.487649e-003,1.152318e-002
7.000000e+004,3.232424e+002,2.498727e-003,1.050629e-002
7.000000e+004,3.242908e+002,2.509902e-003,1.125649e-002
7.000000e+004,3.252328e+002,2.508802e-003,1.065069e-002
7.000000e+004,3.262654e+002,2.509061e-003,1.028493e-002
7.000000e+004,3.272495e+002,2.509793e-003,9.951541e-003
7.000000e+004,3.282936e+002,2.497284e-003,8.923385e-003
7.000000e+004,3.292346e+002,2.500084e-003,1.738615e-003
7.000000e+004,3.302552e+002,2.519650e-003,-5.278224e-003
7.000000e+004,3.313264e+002,2.485980e-003,5.657723e-003
7.000000e+004,3.322750e+002,2.479988e-003,6.170182e-003
