Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
7.000000e+004,4.000000e+002,3.934791e-003,-1.306971e-001
7.000000e+004,3.988703e+002,3.931763e-003,-1.301311e-001
7.000000e+004,3.977686e+002,3.942317e-003,-1.292847e-001
7.000000e+004,3.965545e+002,3.952732e-003,-1.286540e-001
7.000000e+004,3.956163e+002,3.962907e-003,-1.279596e-001
7.000000e+004,3.943631e+002,3.973779e-003,-1.271070e-001
7.000000e+004,3.933470e+002,3.983784e-003,-1.264834e-001
7.000000e+004,3.922398e+002,3.995011e-003,-1.258607e-001
7.000000e+004,3.912379e+002,4.007389e-003,-1.252876e-001
7.000000e+004,3.901027e+002,4.016527e-003,-1.245898e-001
7.000000e+004,3.891122e+002,4.028291e-003,-1.240440e-001
7.000000e+004,3.880416e+002,4.039471e-003,-1.234671e-001
7.000000e+004,3.871440e+002,4.047326e-003,-1.229564e-001
7.000000e+004,3.862778e+002,4.055587e-003,-1.224629e-001
7.000000e+004,3.852684e+002,4.064041e-003,-1.218998e-001
7.000000e+004,3.844349e+002,4.071438e-003,-1.216552e-001
7.000000e+004,3.835842e+002,4.079464e-003,-1.212460e-001
7.000000e+004,3.825745e+002,4.088935e-003,-1.207442e-001
7.000000e+004,3.817177e+002,4.094667e-003,-1.204155e-001
7.000000e+004,3.805248e+002,4.100451e-003,-1.199581e-001
7.000000e+004,3.798174e+002,4.106352e-003,-1.199901e-001
7.000000e+004,3.789763e+002,4.110240e-003,-1.202476e-001
7.000000e+004,3.775736e+002,4.110293e-003,-1.221071e-001
7.000000e+004,3.765364e+002,4.120474e-003,-1.214770e-001
7.000000e+004,3.755337e+002,4.129121e-003,-1.208341e-001
7.000000e+004,3.744233e+002,4.139796e-003,-1.204694e-001
7.000000e+004,3.733985e+002,4.150199e-003,-1.200340e-001
7.000000e+004,3.722060e+002,4.160716e-003,-1.191682e-001
7.000000e+004,3.711686e+002,4.171042e-003,-1.186434e-001
7.000000e+004,3.700932e+002,4.182459e-003,-1.183473e-001
7.000000e+004,3.690875e+002,4.192583e-003,-1.177692e-001
7.000000e+004,3.681420e+002,4.202829e-003,-1.172564e-001
7.000000e+004,3.671227e+002,4.211355e-003,-1.165819e-001
7.000000e+004,3.662715e+002,4.220028e-003,-1.162744e-001
7.000000e+004,3.654165e+002,4.227019e-003,-1.157825e-001
7.000000e+004,3.645307e+002,4.234854e-003,-1.154846e-001
7.000000e+004,3.636654e+002,4.241141e-003,-1.150070e-001
7.000000e+004,3.626614e+002,4.249484e-003,-1.146037e-001
7.000000e+004,3.617342e+002,4.257335e-003,-1.143066e-001
7.000000e+004,3.608198e+002,4.263653e-003,-1.139242e-001
7.000000e+004,3.599285e+002,4.270148e-003,-1.138994e-001
7.000000e+004,3.587026e+002,4.259375e-003,-1.158485e-001
7.000000e+004,3.575676e+002,4.266992e-003,-1.152321e-001
7.000000e+004,3.564835e+002,4.274888e-003,-1.147783e-001
7.000000e+004,3.555536e+002,4.282032e-003,-1.142914e-001
7.000000e+004,3.545025e+002,4.288673e-003,-1.136855e-001
7.000000e+004,3.534227e+002,4.295153e-003,-1.131633e-001
7.000000e+004,3.524047e+002,4.302061e-003,-1.125977e-001
7.000000e+004,3.512615e+002,4.305916e-003,-1.118988e-001
7.000000e+004,3.503574e+002,4.306104e-003,-1.112811e-001
7.000000e+004,3.493994e+002,4.304104e-003,-1.103822e-001
7.000000e+004,3.484615e+002,4.298762e-003,-1.094558e-001
7.000000e+004,3.475992e+002,4.286456e-003,-1.085261e-001
7.000000e+004,3.465775e+002,4.264925e-003,-1.071669e-001
7.000000e+004,3.455693e+002,4.228655e-003,-1.053599e-001
7.000000e+004,3.446053e+002,4.173457e-003,-1.034849e-001
7.000000e+004,3.437203e+002,4.101524e-003,-1.012546e-001
7.000000e+004,3.427766e+002,3.990348e-003,-9.838717e-002
7.000000e+004,3.418453e+002,3.828378e-003,-9.481854e-002
7.000000e+004,3.408915e+002,3.471125e-003,-8.912925e-002
7.000000e+004,3.397401e+002,3.369131e-003,-8.662888e-002
7.000000e+004,3.385440e+002,3.198117e-003,-8.263057e-002
7.000000e+004,3.376028e+002,3.001454e-003,-7.777360e-002
7.000000e+004,3.365108e+002,2.785003e-003,-7.195362e-002
7.000000e+004,3.354628e+002,2.576349e-003,-6.551617e-002
7.000000e+004,3.345300e+002,2.425612e-003,-5.983925e-002
7.000000e+004,3.335211e+002,2.298787e-003,-5.463937e-002
7.000000e+004,3.325583e+002,2.210487e-003,-5.013774e-002
7.000000e+004,3.315201e+002,2.142049e-003,-4.663890e-002
7.000000e+004,3.305433e+002,2.088571e-003,-4.370350e-002
7.000000e+004,3.296115e+002,2.052049e-003,-4.186135e-002
7.000000e+004,3.286078e+002,2.021141e-003,-3.969466e-002
7.000000e+004,3.276962e+002,1.998685e-003,-3.763123e-002
7.000000e+004,3.267367e+002,1.978259e-003,-3.650354e-002
7.000000e+004,3.257283e+002,1.959805e-003,-3.481306e-002
7.000000e+004,3.248251e+002,1.944567e-003,-3.383513e-002
7.000000e+004,3.239168e+002,1.927369e-003,-3.285684e-002
7.000000e+004,3.228812e+002,1.900683e-003,-3.293192e-002
7.000000e+004,3.217271e+002,1.894665e-003,-3.270487e-002
7.000000e+004,3.206472e+002,1.890554e-003,-3.215567e-002
7.000000e+004,3.196824e+002,1.887165e-003,-3.152229e-002
7.000000e+004,3.186311e+002,1.884053e-003,-3.093390e-002
7.000000e+004,3.175591e+002,1.882152e-003,-2.992176e-002
7.000000e+004,3.165424e+002,1.880330e-003,-2.923369e-002
7.000000e+004,3.156155e+002,1.879445e-003,-2.895192e-002
7.000000e+004,3.146082e+002,1.878052e-003,-2.828977e-002
7.000000e+004,3.136310e+002,1.877115e-003,-2.764862e-002
7.000000e+004,3.126641e+002,1.876699e-003,-2.740057e-002
7.000000e+004,3.117055e+002,1.876308e-003,-2.691785e-002
7.000000e+004,3.106787e+002,1.876666e-003,-2.632119e-002
7.000000e+004,3.097596e+002,1.876831e-003,-2.627891e-002
7.000000e+004,3.087408e+002,1.876787e-003,-2.592268e-002
7.000000e+004,3.078732e+002,1.875842e-003,-2.512476e-002
7.000000e+004,3.069216e+002,1.873933e-003,-2.522385e-002
7.000000e+004,3.058895e+002,1.872224e-003,-2.626678e-002
7.000000e+004,3.047896e+002,1.873601e-003,-2.578381e-002
7.000000e+004,3.036691e+002,1.875375e-003,-2.572362e-002
7.000000e+004,3.026873e+002,1.877099e-003,-2.550431e-002
7.000000e+004,3.016819e+002,1.879569e-003,-2.519227e-002
7.000000e+004,3.001061e+002,1.882345e-003,-2.453329e-002
7.000000e+004,3.000990e+002,1.881913e-003,-2.477549e-002
7.000000e+004,3.000441e+002,1.880004e-003,-2.498869e-002
7.000000e+004,3.012111e+002,1.877515e-003,-2.574793e-002
7.000000e+004,3.022169e+002,1.874710e-003,-2.629298e-002
7.000000e+004,3.033223e+002,1.872617e-003,-2.674631e-002
7.000000e+004,3.042958e+002,1.869356e-003,-2.665535e-002
7.000000e+004,3.052594e+002,1.867374e-003,-2.741041e-002
7.000000e+004,3.062852e+002,1.864862e-003,-2.793261e-002
7.000000e+004,3.072307e+002,1.862987e-003,-2.836258e-002
7.000000e+004,3.082257e+002,1.861946e-003,-2.857332e-002
7.000000e+004,3.093145e+002,1.860136e-003,-2.900078e-002
7.000000e+004,3.102232e+002,1.859936e-003,-2.951595e-002
7.000000e+004,3.112467e+002,1.857231e-003,-2.989195e-002
7.000000e+004,3.122274e+002,1.857441e-003,-2.971028e-002
7.000000e+004,3.132243e+002,1.855044e-003,-3.093739e-002
7.000000e+004,3.142633e+002,1.855280e-003,-3.107025e-002
7.000000e+004,3.151974e+002,1.854113e-003,-3.161243e-002
7.000000e+004,3.162148e+002,1.853696e-003,-3.227600e-002
7.000000e+004,3.172652e+002,1.853634e-003,-3.245874e-002
7.000000e+004,3.182165e+002,1.853928e-003,-3.274266e-002
7.000000e+004,3.192468e+002,1.854853e-003,-3.336282e-002
7.000000e+004,3.202332e+002,1.854743e-003,-3.357036e-002
7.000000e+004,3.213697e+002,1.855338e-003,-3.443512e-002
7.000000e+004,3.222772e+002,1.858241e-003,-3.471373e-002
7.000000e+004,3.232256e+002,1.859183e-003,-3.510510e-002
7.000000e+004,3.242761e+002,1.860208e-003,-3.505753e-002
7.000000e+004,3.252308e+002,1.862093e-003,-3.615760e-002
7.000000e+004,3.262169e+002,1.864719e-003,-3.716532e-002
7.000000e+004,3.272220e+002,1.868730e-003,-3.761267e-002
7.000000e+004,3.282575e+002,1.872309e-003,-3.834442e-002
7.000000e+004,3.292675e+002,1.876732e-003,-3.880665e-002
7.000000e+004,3.302211e+002,1.881257e-003,-3.928622e-002
7.000000e+004,3.312812e+002,1.887648e-003,-4.014919e-002
7.000000e+004,3.322296e+002,1.892665e-003,-4.136516e-002
7.000000e+004,3.332569e+002,1.899516e-003,-4.224296e-002
7.000000e+004,3.342039e+002,1.909137e-003,-4.256245e-002
7.000000e+004,3.352196e+002,1.916918e-003,-4.342956e-002
7.000000e+004,3.362755e+002,1.928322e-003,-4.445377e-002
7.000000e+004,3.372158e+002,1.939232e-003,-4.576711e-002
7.000000e+004,3.382601e+002,1.953596e-003,-4.651766e-002
7.000000e+004,3.392099e+002,1.968969e-003,-4.825193e-002
7.000000e+004,3.402557e+002,1.987483e-003,-4.937825e-002
7.000000e+004,3.414133e+002,2.012555e-003,-5.070527e-002
7.000000e+004,3.422107e+002,2.030273e-003,-5.266591e-002
7.000000e+004,3.432855e+002,2.058792e-003,-5.413028e-002
7.000000e+004,3.442322e+002,2.132217e-003,-7.484276e-002
7.000000e+004,3.452250e+002,2.124771e-003,-5.818533e-002
7.000000e+004,3.462839e+002,2.166793e-003,-6.051851e-002
7.000000e+004,3.472240e+002,2.210266e-003,-6.268725e-002
7.000000e+004,3.482228e+002,2.260190e-003,-6.568861e-002
7.000000e+004,3.492498e+002,2.319510e-003,-6.840166e-002
7.000000e+004,3.502587e+002,2.382549e-003,-7.120223e-002
7.000000e+004,3.512241e+002,2.452016e-003,-7.444988e-002
7.000000e+004,3.522798e+002,2.535907e-003,-7.769303e-002
7.000000e+004,3.532344e+002,2.620316e-003,-8.082083e-002
7.000000e+004,3.541995e+002,2.714096e-003,-8.422878e-002
7.000000e+004,3.552082e+002,2.820013e-003,-8.789989e-002
7.000000e+004,3.562153e+002,2.933399e-003,-9.163287e-002
7.000000e+004,3.572952e+002,3.061501e-003,-9.535854e-002
7.000000e+004,3.582811e+002,3.182191e-003,-9.904456e-002
7.000000e+004,3.592184e+002,3.306449e-003,-1.023196e-001
7.000000e+004,3.602704e+002,3.437696e-003,-1.055219e-001
7.000000e+004,3.614630e+002,3.584863e-003,-1.092285e-001
7.000000e+004,3.622751e+002,3.679126e-003,-1.116349e-001
7.000000e+004,3.631998e+002,3.776294e-003,-1.140036e-001
7.000000e+004,3.642283e+002,3.873881e-003,-1.164514e-001
7.000000e+004,3.652227e+002,3.956085e-003,-1.185144e-001
7.000000e+004,3.662336e+002,4.021029e-003,-1.204309e-001
7.000000e+004,3.672857e+002,4.073095e-003,-1.219758e-001
7.000000e+004,3.681910e+002,4.106100e-003,-1.231594e-001
7.000000e+004,3.692109e+002,4.128088e-003,-1.241245e-001
