[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1661166932.703000 8/22/2022, 1:15:32 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, FeTrz_AOT_small
INFO, WEIGHT, 3.220
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: FeTrz_HTvT_MCE_reverse.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1661166932.702,,7.000000e+004,4.000000e+002,3.934791e-003,1.218307e-006,-1.306971e-001,1.462285e-004,3,9.765353e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.290894e-002,0,,0,
1661167004.893,,7.000000e+004,3.988703e+002,3.931763e-003,1.363187e-006,-1.301311e-001,2.217346e-004,3,9.760619e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.932068e-001,0,,0,
1661167054.126,,7.000000e+004,3.977686e+002,3.942317e-003,1.975304e-006,-1.292847e-001,8.953044e-005,3,9.758281e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.357910e-001,0,,0,
1661167082.565,,7.000000e+004,3.965545e+002,3.952732e-003,4.042805e-006,-1.286540e-001,2.583286e-004,3,9.759741e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.626892e-001,0,,0,
1661167099.026,,7.000000e+004,3.956163e+002,3.962907e-003,3.466908e-006,-1.279596e-001,3.577003e-004,3,9.758217e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.742004e-001,0,,0,
1661167116.081,,7.000000e+004,3.943631e+002,3.973779e-003,4.382613e-006,-1.271070e-001,1.948238e-004,3,9.760765e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.198853e-001,0,,0,
1661167129.564,,7.000000e+004,3.933470e+002,3.983784e-003,3.210734e-006,-1.264834e-001,3.542759e-004,3,9.761617e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.532104e-001,0,,0,
1661167144.252,,7.000000e+004,3.922398e+002,3.995011e-003,3.214356e-006,-1.258607e-001,1.297491e-004,3,9.763502e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.048218e+000,0,,0,
1661167157.243,,7.000000e+004,3.912379e+002,4.007389e-003,4.380309e-006,-1.252876e-001,2.467382e-004,3,9.765390e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.685913e-001,0,,0,
1661167171.980,,7.000000e+004,3.901027e+002,4.016527e-003,3.560421e-006,-1.245898e-001,1.338215e-004,3,9.768009e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.264160e-001,0,,0,
1661167184.745,,7.000000e+004,3.891122e+002,4.028291e-003,2.418834e-006,-1.240440e-001,1.799038e-004,3,9.769005e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.220215e-001,0,,0,
1661167199.524,,7.000000e+004,3.880416e+002,4.039471e-003,2.493249e-006,-1.234671e-001,6.082317e-005,3,9.769682e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.685852e-001,0,,0,
1661167212.962,,7.000000e+004,3.871440e+002,4.047326e-003,3.775106e-006,-1.229564e-001,2.231254e-004,3,9.770473e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.499146e-001,0,,0,
1661167226.448,,7.000000e+004,3.862778e+002,4.055587e-003,9.338161e-007,-1.224629e-001,3.594547e-004,3,9.770676e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.215942e-001,0,,0,
1661167241.202,,7.000000e+004,3.852684e+002,4.064041e-003,3.167599e-006,-1.218998e-001,1.218940e-004,3,9.770657e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.813110e-001,0,,0,
1661167254.947,,7.000000e+004,3.844349e+002,4.071438e-003,2.508725e-006,-1.216552e-001,9.594730e-005,3,9.771366e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.539063e-001,0,,0,
1661167268.694,,7.000000e+004,3.835842e+002,4.079464e-003,3.814290e-006,-1.212460e-001,9.026274e-005,3,9.771277e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.430969e-001,0,,0,
1661167288.203,,7.000000e+004,3.825745e+002,4.088935e-003,2.135989e-006,-1.207442e-001,2.150121e-004,3,9.771522e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.685120e-001,0,,0,
