Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
1.000000e+003,2.999946e+002,4.678228e-005,-2.417562e-002
1.000000e+003,3.011040e+002,4.670864e-005,-2.311823e-002
1.000000e+003,3.021143e+002,4.668240e-005,-2.487972e-002
1.000000e+003,3.031428e+002,4.665743e-005,-2.559357e-002
1.000000e+003,3.041278e+002,4.659759e-005,-2.560181e-002
1.000000e+003,3.051160e+002,4.651779e-005,-2.540967e-002
1.000000e+003,3.061555e+002,4.648811e-005,-2.688852e-002
1.000000e+003,3.071319e+002,4.647645e-005,-2.671637e-002
1.000000e+003,3.081149e+002,4.637693e-005,-2.687442e-002
1.000000e+003,3.091840e+002,4.638059e-005,-2.721771e-002
1.000000e+003,3.101469e+002,4.635743e-005,-2.663973e-002
1.000000e+003,3.111431e+002,4.626761e-005,-2.799465e-002
1.000000e+003,3.121307e+002,4.623957e-005,-2.776279e-002
1.000000e+003,3.131212e+002,4.625190e-005,-3.068606e-002
1.000000e+003,3.141497e+002,4.620639e-005,-2.850885e-002
1.000000e+003,3.151539e+002,4.616688e-005,-2.872138e-002
1.000000e+003,3.160976e+002,4.606068e-005,-2.962886e-002
1.000000e+003,3.171312e+002,4.606231e-005,-2.989715e-002
1.000000e+003,3.181279e+002,4.604295e-005,-3.012513e-002
1.000000e+003,3.191433e+002,4.600673e-005,-2.981529e-002
1.000000e+003,3.201371e+002,4.597869e-005,-3.086953e-002
1.000000e+003,3.211377e+002,4.592746e-005,-3.068709e-002
1.000000e+003,3.221325e+002,4.588937e-005,-3.142001e-002
1.000000e+003,3.231048e+002,4.590020e-005,-3.077646e-002
1.000000e+003,3.241503e+002,4.581858e-005,-3.159927e-002
1.000000e+003,3.251104e+002,4.582753e-005,-3.356450e-002
1.000000e+003,3.261063e+002,4.581160e-005,-3.450010e-002
1.000000e+003,3.271342e+002,4.575474e-005,-3.511503e-002
1.000000e+003,3.281025e+002,4.575633e-005,-3.505942e-002
1.000000e+003,3.291028e+002,4.569926e-005,-3.514631e-002
1.000000e+003,3.301292e+002,4.567785e-005,-3.533528e-002
1.000000e+003,3.311144e+002,4.564744e-005,-3.570967e-002
1.000000e+003,3.320926e+002,4.567624e-005,-3.565697e-002
1.000000e+003,3.331610e+002,4.561970e-005,-3.695447e-002
1.000000e+003,3.341476e+002,4.560760e-005,-3.610682e-002
1.000000e+003,3.351068e+002,4.556443e-005,-3.707651e-002
1.000000e+003,3.361416e+002,4.555091e-005,-3.692614e-002
1.000000e+003,3.370993e+002,4.551606e-005,-3.794514e-002
1.000000e+003,3.381085e+002,4.548870e-005,-3.818588e-002
1.000000e+003,3.391517e+002,4.545130e-005,-3.741353e-002
1.000000e+003,3.401207e+002,4.545465e-005,-3.861481e-002
1.000000e+003,3.411398e+002,4.545445e-005,-3.969255e-002
1.000000e+003,3.421489e+002,4.543253e-005,-3.928735e-002
1.000000e+003,3.431196e+002,4.541376e-005,-4.032572e-002
1.000000e+003,3.441294e+002,4.540205e-005,-3.976735e-002
1.000000e+003,3.451501e+002,4.541808e-005,-3.938702e-002
1.000000e+003,3.461269e+002,4.534464e-005,-4.079977e-002
1.000000e+003,3.471457e+002,4.533206e-005,-4.021553e-002
1.000000e+003,3.481101e+002,4.539229e-005,-4.141638e-002
1.000000e+003,3.491217e+002,4.534350e-005,-4.118650e-002
1.000000e+003,3.501248e+002,4.533349e-005,-4.288492e-002
1.000000e+003,3.510944e+002,4.528845e-005,-4.338142e-002
1.000000e+003,3.521543e+002,4.530079e-005,-4.322013e-002
1.000000e+003,3.531307e+002,4.530177e-005,-4.397247e-002
1.000000e+003,3.541632e+002,4.528690e-005,-4.358926e-002
1.000000e+003,3.551337e+002,4.528603e-005,-4.423274e-002
1.000000e+003,3.561097e+002,4.530959e-005,-4.464807e-002
1.000000e+003,3.571093e+002,4.533357e-005,-4.422803e-002
1.000000e+003,3.580994e+002,4.532871e-005,-4.483494e-002
1.000000e+003,3.591549e+002,4.533720e-005,-4.479701e-002
1.000000e+003,3.601256e+002,4.534805e-005,-4.524974e-002
1.000000e+003,3.611282e+002,4.537289e-005,-4.596968e-002
1.000000e+003,3.621313e+002,4.538358e-005,-4.683439e-002
1.000000e+003,3.631189e+002,4.536698e-005,-4.635542e-002
1.000000e+003,3.641122e+002,4.538835e-005,-4.635343e-002
1.000000e+003,3.651381e+002,4.536555e-005,-4.574726e-002
1.000000e+003,3.661242e+002,4.544309e-005,-4.709705e-002
1.000000e+003,3.671403e+002,4.547303e-005,-4.769950e-002
1.000000e+003,3.681158e+002,4.545555e-005,-4.653989e-002
1.000000e+003,3.691271e+002,4.548241e-005,-4.849874e-002
1.000000e+003,3.701524e+002,4.549853e-005,-4.765188e-002
1.000000e+003,3.711115e+002,4.552780e-005,-4.983887e-002
1.000000e+003,3.721595e+002,4.557519e-005,-4.876599e-002
1.000000e+003,3.731183e+002,4.565698e-005,-4.982456e-002
1.000000e+003,3.741160e+002,4.564322e-005,-5.051846e-002
1.000000e+003,3.751422e+002,4.569730e-005,-5.041422e-002
1.000000e+003,3.761285e+002,4.576585e-005,-5.038652e-002
1.000000e+003,3.771604e+002,4.580553e-005,-5.149042e-002
1.000000e+003,3.781288e+002,4.583473e-005,-5.181167e-002
1.000000e+003,3.791055e+002,4.593212e-005,-5.217936e-002
1.000000e+003,3.801194e+002,4.599011e-005,-5.223749e-002
1.000000e+003,3.811157e+002,4.603965e-005,-5.134996e-002
1.000000e+003,3.821409e+002,4.612484e-005,-5.416709e-002
1.000000e+003,3.831333e+002,4.623170e-005,-5.334525e-002
1.000000e+003,3.841610e+002,4.630497e-005,-5.387941e-002
1.000000e+003,3.851403e+002,4.642433e-005,-5.410990e-002
1.000000e+003,3.861218e+002,4.644583e-005,-5.475460e-002
1.000000e+003,3.871268e+002,4.659846e-005,-5.542612e-002
1.000000e+003,3.881342e+002,4.673215e-005,-5.585047e-002
1.000000e+003,3.843881e+002,4.680767e-005,-5.159894e-002
1.000000e+003,3.862185e+002,4.689448e-005,-5.166567e-002
1.000000e+003,3.872332e+002,4.694618e-005,-5.296973e-002
1.000000e+003,3.881555e+002,4.702978e-005,-5.276292e-002
1.000000e+003,3.891685e+002,4.712100e-005,-5.418532e-002
1.000000e+003,3.901315e+002,4.723327e-005,-5.417303e-002
1.000000e+003,3.911117e+002,4.740176e-005,-5.480686e-002
1.000000e+003,3.921159e+002,4.762467e-005,-5.599217e-002
1.000000e+003,3.931066e+002,4.790799e-005,-5.636448e-002
1.000000e+003,3.940931e+002,4.838259e-005,-5.724007e-002
1.000000e+003,3.951260e+002,4.994862e-005,-6.058597e-002
1.000000e+003,3.961321e+002,5.790445e-005,-7.271333e-002
1.000000e+003,3.971171e+002,8.068031e-005,-9.785937e-002
1.000000e+003,3.982188e+002,1.078799e-004,-1.168418e-001
1.000000e+003,3.991195e+002,1.129912e-004,-1.196222e-001
1.000000e+003,4.000626e+002,1.153910e-004,-1.195435e-001
1.000000e+003,4.000076e+002,1.160009e-004,-1.187829e-001
1.000000e+003,3.988264e+002,1.162428e-004,-1.180762e-001
1.000000e+003,3.977729e+002,1.164688e-004,-1.169373e-001
1.000000e+003,3.967724e+002,1.166614e-004,-1.166491e-001
1.000000e+003,3.957539e+002,1.168761e-004,-1.155101e-001
1.000000e+003,3.946483e+002,1.170923e-004,-1.146545e-001
1.000000e+003,3.937155e+002,1.172363e-004,-1.145490e-001
1.000000e+003,3.926841e+002,1.174479e-004,-1.133033e-001
1.000000e+003,3.917827e+002,1.175700e-004,-1.130301e-001
1.000000e+003,3.908175e+002,1.177847e-004,-1.125381e-001
1.000000e+003,3.898849e+002,1.178851e-004,-1.119923e-001
1.000000e+003,3.889324e+002,1.180013e-004,-1.125174e-001
1.000000e+003,3.878841e+002,1.182051e-004,-1.118423e-001
1.000000e+003,3.868599e+002,1.184125e-004,-1.113054e-001
1.000000e+003,3.857721e+002,1.186086e-004,-1.106695e-001
1.000000e+003,3.848402e+002,1.188185e-004,-1.102487e-001
1.000000e+003,3.838356e+002,1.189690e-004,-1.093463e-001
1.000000e+003,3.828602e+002,1.191300e-004,-1.091900e-001
1.000000e+003,3.818958e+002,1.192964e-004,-1.089803e-001
1.000000e+003,3.809131e+002,1.194389e-004,-1.085423e-001
1.000000e+003,3.798771e+002,1.195885e-004,-1.083812e-001
1.000000e+003,3.788557e+002,1.197860e-004,-1.080524e-001
1.000000e+003,3.778603e+002,1.199253e-004,-1.075068e-001
1.000000e+003,3.768674e+002,1.200542e-004,-1.073361e-001
1.000000e+003,3.758799e+002,1.201537e-004,-1.066723e-001
1.000000e+003,3.748666e+002,1.203188e-004,-1.063788e-001
1.000000e+003,3.738844e+002,1.204653e-004,-1.063426e-001
1.000000e+003,3.728907e+002,1.205685e-004,-1.059374e-001
1.000000e+003,3.718719e+002,1.206936e-004,-1.052990e-001
1.000000e+003,3.708726e+002,1.208203e-004,-1.052888e-001
1.000000e+003,3.698569e+002,1.209097e-004,-1.046598e-001
1.000000e+003,3.688771e+002,1.209982e-004,-1.043207e-001
1.000000e+003,3.678919e+002,1.210349e-004,-1.040742e-001
1.000000e+003,3.668768e+002,1.211498e-004,-1.031890e-001
1.000000e+003,3.659028e+002,1.211199e-004,-1.028841e-001
1.000000e+003,3.648858e+002,1.211022e-004,-1.025267e-001
1.000000e+003,3.638640e+002,1.210938e-004,-1.024674e-001
1.000000e+003,3.628801e+002,1.209415e-004,-1.020970e-001
1.000000e+003,3.618674e+002,1.207094e-004,-1.015170e-001
1.000000e+003,3.608999e+002,1.203751e-004,-1.012009e-001
1.000000e+003,3.598727e+002,1.190038e-004,-9.958057e-002
1.000000e+003,3.588878e+002,1.098991e-004,-9.431884e-002
1.000000e+003,3.578520e+002,9.422391e-005,-8.594094e-002
1.000000e+003,3.568659e+002,7.923759e-005,-7.659937e-002
1.000000e+003,3.558651e+002,6.680307e-005,-6.262733e-002
1.000000e+003,3.548804e+002,5.903460e-005,-4.977476e-002
1.000000e+003,3.538912e+002,5.435268e-005,-4.297445e-002
1.000000e+003,3.528829e+002,5.154783e-005,-3.856093e-002
1.000000e+003,3.518433e+002,4.975562e-005,-3.551317e-002
1.000000e+003,3.508645e+002,4.873136e-005,-3.345505e-002
1.000000e+003,3.498741e+002,4.817716e-005,-3.200365e-002
1.000000e+003,3.488726e+002,4.784923e-005,-3.128021e-002
1.000000e+003,3.478770e+002,4.763301e-005,-3.020803e-002
1.000000e+003,3.468609e+002,4.748834e-005,-2.934707e-002
1.000000e+003,3.458750e+002,4.740002e-005,-2.896444e-002
1.000000e+003,3.448878e+002,4.734249e-005,-2.849437e-002
1.000000e+003,3.438616e+002,4.734112e-005,-2.741371e-002
1.000000e+003,3.428723e+002,4.730850e-005,-2.732624e-002
1.000000e+003,3.418726e+002,4.733515e-005,-2.673717e-002
1.000000e+003,3.408838e+002,4.730664e-005,-2.740799e-002
1.000000e+003,3.398825e+002,4.734422e-005,-2.626446e-002
1.000000e+003,3.388736e+002,4.732041e-005,-2.626724e-002
1.000000e+003,3.378893e+002,4.734450e-005,-2.569395e-002
1.000000e+003,3.368678e+002,4.737320e-005,-2.639982e-002
1.000000e+003,3.358958e+002,4.739291e-005,-2.563550e-002
1.000000e+003,3.348692e+002,4.741637e-005,-2.519252e-002
1.000000e+003,3.338737e+002,4.741500e-005,-2.477641e-002
1.000000e+003,3.328644e+002,4.743863e-005,-2.413830e-002
1.000000e+003,3.318771e+002,4.749096e-005,-2.512628e-002
1.000000e+003,3.308610e+002,4.750858e-005,-2.391418e-002
1.000000e+003,3.298384e+002,4.752997e-005,-2.397498e-002
1.000000e+003,3.288635e+002,4.756219e-005,-2.320075e-002
1.000000e+003,3.278754e+002,4.757126e-005,-2.294226e-002
1.000000e+003,3.268681e+002,4.762871e-005,-2.331221e-002
1.000000e+003,3.258672e+002,4.763345e-005,-2.274629e-002
1.000000e+003,3.248751e+002,4.766263e-005,-2.171056e-002
1.000000e+003,3.238685e+002,4.766733e-005,-2.262997e-002
1.000000e+003,3.228953e+002,4.771904e-005,-2.202513e-002
1.000000e+003,3.218729e+002,4.778659e-005,-2.148884e-002
1.000000e+003,3.208675e+002,4.782285e-005,-2.208755e-002
1.000000e+003,3.198871e+002,4.780548e-005,-2.100803e-002
1.000000e+003,3.188767e+002,4.781551e-005,-2.197963e-002
1.000000e+003,3.178530e+002,4.790751e-005,-2.005154e-002
1.000000e+003,3.168542e+002,4.792793e-005,-2.040525e-002
1.000000e+003,3.158660e+002,4.795815e-005,-2.028451e-002
1.000000e+003,3.148767e+002,4.803283e-005,-1.987097e-002
1.000000e+003,3.138567e+002,4.808217e-005,-2.077736e-002
1.000000e+003,3.128535e+002,4.809886e-005,-1.978043e-002
1.000000e+003,3.118630e+002,4.812267e-005,-1.912864e-002
1.000000e+003,3.108714e+002,4.817214e-005,-1.972941e-002
1.000000e+003,3.098904e+002,4.822451e-005,-1.953625e-002
