Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
1.000000e+003,2.999981e+002,4.101315e-005,-3.205599e-002
1.000000e+003,3.011147e+002,4.093155e-005,-3.003811e-002
1.000000e+003,3.021215e+002,4.091299e-005,-3.168267e-002
1.000000e+003,3.031356e+002,4.084411e-005,-3.302720e-002
1.000000e+003,3.041205e+002,4.077659e-005,-3.193814e-002
1.000000e+003,3.051270e+002,4.066811e-005,-3.200895e-002
1.000000e+003,3.061481e+002,4.064581e-005,-3.283670e-002
1.000000e+003,3.071169e+002,4.059679e-005,-3.273994e-002
1.000000e+003,3.081636e+002,4.055700e-005,-3.403375e-002
1.000000e+003,3.091462e+002,4.050819e-005,-3.262889e-002
1.000000e+003,3.101545e+002,4.047290e-005,-3.448205e-002
1.000000e+003,3.111431e+002,4.042481e-005,-3.507658e-002
1.000000e+003,3.121269e+002,4.037292e-005,-3.503314e-002
1.000000e+003,3.131289e+002,4.030552e-005,-3.637759e-002
1.000000e+003,3.141301e+002,4.023235e-005,-3.458720e-002
1.000000e+003,3.151500e+002,4.022716e-005,-3.575502e-002
1.000000e+003,3.161294e+002,4.023372e-005,-3.598487e-002
1.000000e+003,3.171073e+002,4.016364e-005,-3.772336e-002
1.000000e+003,3.181439e+002,4.008673e-005,-3.727152e-002
1.000000e+003,3.191271e+002,4.006012e-005,-3.822655e-002
1.000000e+003,3.201575e+002,4.005353e-005,-3.848244e-002
1.000000e+003,3.211418e+002,4.002701e-005,-3.938840e-002
1.000000e+003,3.221407e+002,4.002858e-005,-3.769669e-002
1.000000e+003,3.231048e+002,3.998155e-005,-3.999852e-002
1.000000e+003,3.241169e+002,3.996372e-005,-4.009020e-002
1.000000e+003,3.251315e+002,3.992651e-005,-3.982967e-002
1.000000e+003,3.261232e+002,3.992916e-005,-4.078247e-002
1.000000e+003,3.271256e+002,3.989700e-005,-4.056136e-002
1.000000e+003,3.281368e+002,3.989039e-005,-4.123730e-002
1.000000e+003,3.291396e+002,3.987555e-005,-4.189973e-002
1.000000e+003,3.301444e+002,3.985775e-005,-4.367446e-002
1.000000e+003,3.311252e+002,3.981205e-005,-4.444189e-002
1.000000e+003,3.321387e+002,3.987226e-005,-4.277674e-002
1.000000e+003,3.331255e+002,3.986853e-005,-4.387791e-002
1.000000e+003,3.341521e+002,3.983615e-005,-4.364900e-002
1.000000e+003,3.351472e+002,3.985464e-005,-4.523616e-002
1.000000e+003,3.361145e+002,3.986194e-005,-4.492543e-002
1.000000e+003,3.371425e+002,3.986169e-005,-4.570105e-002
1.000000e+003,3.381405e+002,3.987920e-005,-4.572812e-002
1.000000e+003,3.391448e+002,3.988617e-005,-4.664918e-002
1.000000e+003,3.401276e+002,3.988721e-005,-4.698804e-002
1.000000e+003,3.411235e+002,3.987624e-005,-4.777445e-002
1.000000e+003,3.421372e+002,3.991603e-005,-4.751151e-002
1.000000e+003,3.431267e+002,3.995457e-005,-5.029882e-002
1.000000e+003,3.441199e+002,3.994208e-005,-4.988448e-002
1.000000e+003,3.451382e+002,3.999766e-005,-4.959769e-002
1.000000e+003,3.461100e+002,3.999488e-005,-5.119685e-002
1.000000e+003,3.471119e+002,4.004225e-005,-5.110914e-002
1.000000e+003,3.481418e+002,4.002891e-005,-5.149721e-002
1.000000e+003,3.491095e+002,4.006873e-005,-5.231428e-002
1.000000e+003,3.501371e+002,4.011051e-005,-5.289973e-002
1.000000e+003,3.511191e+002,4.012492e-005,-5.234473e-002
1.000000e+003,3.521343e+002,4.020156e-005,-5.411532e-002
1.000000e+003,3.531231e+002,4.022209e-005,-5.437491e-002
1.000000e+003,3.541229e+002,4.024429e-005,-5.418415e-002
1.000000e+003,3.551590e+002,4.031177e-005,-5.504605e-002
1.000000e+003,3.561173e+002,4.035805e-005,-5.642107e-002
1.000000e+003,3.571452e+002,4.044289e-005,-5.793481e-002
1.000000e+003,3.581252e+002,4.046123e-005,-5.778164e-002
1.000000e+003,3.591186e+002,4.056327e-005,-5.790228e-002
1.000000e+003,3.601361e+002,4.060009e-005,-5.870183e-002
