Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
1.000000e+003,3.000016e+002,3.688359e-005,-5.736395e-003
1.000000e+003,3.011255e+002,3.685967e-005,-1.003214e-002
1.000000e+003,3.021215e+002,3.683095e-005,-6.035130e-003
1.000000e+003,3.031356e+002,3.683159e-005,-7.292954e-003
1.000000e+003,3.041424e+002,3.674224e-005,-7.236742e-003
1.000000e+003,3.051454e+002,3.674234e-005,-8.022808e-003
1.000000e+003,3.061444e+002,3.670334e-005,-8.726929e-003
1.000000e+003,3.071244e+002,3.669568e-005,-8.041345e-003
1.000000e+003,3.081336e+002,3.667887e-005,-9.571889e-003
1.000000e+003,3.091348e+002,3.666195e-005,-9.141077e-003
1.000000e+003,3.101127e+002,3.663152e-005,-1.023212e-002
1.000000e+003,3.111354e+002,3.662882e-005,-1.017381e-002
1.000000e+003,3.120999e+002,3.662329e-005,-1.077427e-002
1.000000e+003,3.131562e+002,3.656712e-005,-1.234832e-002
1.000000e+003,3.141184e+002,3.655172e-005,-1.179199e-002
1.000000e+003,3.151302e+002,3.655069e-005,-1.224647e-002
1.000000e+003,3.161135e+002,3.658251e-005,-1.229710e-002
1.000000e+003,3.171112e+002,3.653868e-005,-1.253292e-002
1.000000e+003,3.181439e+002,3.653846e-005,-1.416206e-002
1.000000e+003,3.191230e+002,3.656250e-005,-1.307714e-002
1.000000e+003,3.201331e+002,3.652453e-005,-1.445521e-002
1.000000e+003,3.211377e+002,3.654339e-005,-1.401871e-002
1.000000e+003,3.221448e+002,3.652109e-005,-1.387267e-002
1.000000e+003,3.231048e+002,3.654455e-005,-1.578141e-002
1.000000e+003,3.241252e+002,3.653290e-005,-1.565216e-002
1.000000e+003,3.251609e+002,3.654386e-005,-1.662327e-002
1.000000e+003,3.260978e+002,3.656725e-005,-1.576661e-002
1.000000e+003,3.271043e+002,3.653347e-005,-1.815216e-002
1.000000e+003,3.281432e+002,3.662554e-005,-1.814409e-002
1.000000e+003,3.291180e+002,3.657678e-005,-1.811257e-002
1.000000e+003,3.301466e+002,3.661075e-005,-1.886239e-002
1.000000e+003,3.311166e+002,3.660721e-005,-1.921835e-002
1.000000e+003,3.321321e+002,3.660806e-005,-2.014382e-002
1.000000e+003,3.331300e+002,3.665629e-005,-2.123803e-002
1.000000e+003,3.341008e+002,3.667528e-005,-2.038283e-002
1.000000e+003,3.351472e+002,3.670100e-005,-2.101317e-002
1.000000e+003,3.361100e+002,3.670113e-005,-2.312957e-002
1.000000e+003,3.371016e+002,3.669812e-005,-2.494716e-002
1.000000e+003,3.381245e+002,3.679062e-005,-2.386761e-002
1.000000e+003,3.391126e+002,3.683154e-005,-2.182845e-002
1.000000e+003,3.401438e+002,3.682920e-005,-2.272879e-002
1.000000e+003,3.411165e+002,3.692165e-005,-2.424925e-002
1.000000e+003,3.421068e+002,3.687035e-005,-2.461152e-002
1.000000e+003,3.431409e+002,3.691852e-005,-2.540321e-002
1.000000e+003,3.441080e+002,3.698133e-005,-2.521392e-002
1.000000e+003,3.451000e+002,3.701498e-005,-2.588337e-002
1.000000e+003,3.461389e+002,3.700824e-005,-2.567482e-002
1.000000e+003,3.471119e+002,3.713637e-005,-2.716042e-002
1.000000e+003,3.481272e+002,3.714878e-005,-2.747000e-002
1.000000e+003,3.491242e+002,3.718493e-005,-2.967748e-002
1.000000e+003,3.501174e+002,3.723476e-005,-2.939494e-002
1.000000e+003,3.511340e+002,3.731177e-005,-3.061555e-002
1.000000e+003,3.521094e+002,3.733396e-005,-2.972546e-002
1.000000e+003,3.531181e+002,3.740549e-005,-3.178373e-002
1.000000e+003,3.541430e+002,3.750359e-005,-3.054025e-002
1.000000e+003,3.551286e+002,3.751271e-005,-3.141048e-002
1.000000e+003,3.561097e+002,3.764419e-005,-3.152624e-002
1.000000e+003,3.571324e+002,3.766565e-005,-3.336562e-002
1.000000e+003,3.581278e+002,3.777973e-005,-3.463773e-002
1.000000e+003,3.591471e+002,3.786828e-005,-3.409728e-002
1.000000e+003,3.601204e+002,3.786432e-005,-3.555874e-002
1.000000e+003,3.611649e+002,3.799105e-005,-3.427660e-002
1.000000e+003,3.621233e+002,3.806023e-005,-3.531815e-002
1.000000e+003,3.631322e+002,3.815762e-005,-3.670055e-002
1.000000e+003,3.641149e+002,3.822237e-005,-3.614996e-002
1.000000e+003,3.651140e+002,3.833567e-005,-3.766498e-002
1.000000e+003,3.661404e+002,3.841478e-005,-3.711299e-002
1.000000e+003,3.671131e+002,3.856520e-005,-3.847026e-002
1.000000e+003,3.681049e+002,3.869717e-005,-4.053887e-002
1.000000e+003,3.691215e+002,3.882866e-005,-3.950968e-002
1.000000e+003,3.701082e+002,3.897326e-005,-3.973104e-002
1.000000e+003,3.711031e+002,3.911024e-005,-4.227463e-002
1.000000e+003,3.721455e+002,3.930025e-005,-4.240946e-002
1.000000e+003,3.731210e+002,3.951364e-005,-4.340427e-002
1.000000e+003,3.741500e+002,3.965693e-005,-4.528804e-002
1.000000e+003,3.751279e+002,4.001263e-005,-4.513711e-002
1.000000e+003,3.761399e+002,4.037016e-005,-4.614089e-002
1.000000e+003,3.771546e+002,4.083265e-005,-4.692930e-002
1.000000e+003,3.781838e+002,4.141692e-005,-5.100540e-002
1.000000e+003,3.791171e+002,4.205154e-005,-5.167999e-002
1.000000e+003,3.801049e+002,4.306439e-005,-5.308192e-002
1.000000e+003,3.811039e+002,4.436688e-005,-5.811977e-002
1.000000e+003,3.821292e+002,4.617029e-005,-6.248483e-002
1.000000e+003,3.831125e+002,4.872418e-005,-6.751803e-002
1.000000e+003,3.841341e+002,5.318556e-005,-7.628375e-002
1.000000e+003,3.851163e+002,6.056462e-005,-8.675307e-002
1.000000e+003,3.861188e+002,7.613190e-005,-9.983988e-002
1.000000e+003,3.872452e+002,9.693162e-005,-1.045562e-001
1.000000e+003,3.881464e+002,1.055120e-004,-1.028150e-001
1.000000e+003,3.891194e+002,1.063069e-004,-1.030467e-001
1.000000e+003,3.901438e+002,1.065712e-004,-1.034693e-001
1.000000e+003,3.911241e+002,1.067385e-004,-1.036840e-001
1.000000e+003,3.921346e+002,1.068361e-004,-1.043637e-001
1.000000e+003,3.931035e+002,1.069639e-004,-1.043638e-001
1.000000e+003,3.941120e+002,1.069730e-004,-1.042520e-001
1.000000e+003,3.951323e+002,1.070009e-004,-1.048319e-001
1.000000e+003,3.961066e+002,1.069733e-004,-1.042941e-001
1.000000e+003,3.971011e+002,1.069842e-004,-1.047072e-001
1.000000e+003,3.981674e+002,1.069351e-004,-1.050908e-001
1.000000e+003,3.991453e+002,1.074463e-004,-1.092089e-001
1.000000e+003,3.999816e+002,1.071498e-004,-1.038061e-001
1.000000e+003,4.000140e+002,1.072514e-004,-1.027415e-001
1.000000e+003,3.988457e+002,1.074287e-004,-1.009338e-001
1.000000e+003,3.978307e+002,1.076273e-004,-1.007162e-001
1.000000e+003,3.967723e+002,1.078237e-004,-9.989245e-002
1.000000e+003,3.956936e+002,1.080338e-004,-9.918167e-002
1.000000e+003,3.947052e+002,1.082802e-004,-9.830941e-002
1.000000e+003,3.937281e+002,1.084164e-004,-9.739386e-002
1.000000e+003,3.927310e+002,1.087227e-004,-9.710819e-002
1.000000e+003,3.918076e+002,1.088966e-004,-9.632851e-002
1.000000e+003,3.908051e+002,1.090945e-004,-9.588714e-002
1.000000e+003,3.899187e+002,1.092139e-004,-9.512010e-002
1.000000e+003,3.888986e+002,1.093960e-004,-9.573802e-002
1.000000e+003,3.878415e+002,1.096035e-004,-9.528877e-002
1.000000e+003,3.868356e+002,1.098292e-004,-9.459913e-002
1.000000e+003,3.857630e+002,1.101018e-004,-9.413660e-002
1.000000e+003,3.848313e+002,1.102516e-004,-9.420761e-002
1.000000e+003,3.838416e+002,1.104718e-004,-9.292220e-002
1.000000e+003,3.828780e+002,1.106055e-004,-9.261945e-002
1.000000e+003,3.818959e+002,1.108414e-004,-9.235709e-002
1.000000e+003,3.808719e+002,1.110172e-004,-9.230405e-002
1.000000e+003,3.799063e+002,1.111988e-004,-9.175527e-002
1.000000e+003,3.788818e+002,1.114107e-004,-9.083574e-002
1.000000e+003,3.778603e+002,1.116001e-004,-9.035505e-002
1.000000e+003,3.768616e+002,1.118067e-004,-9.016432e-002
1.000000e+003,3.759057e+002,1.119703e-004,-8.945958e-002
1.000000e+003,3.748723e+002,1.121443e-004,-8.935207e-002
1.000000e+003,3.738674e+002,1.123247e-004,-8.916104e-002
1.000000e+003,3.728571e+002,1.125383e-004,-8.870465e-002
1.000000e+003,3.718774e+002,1.126861e-004,-8.836269e-002
