Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
7.000000e+004,4.000002e+002,9.037551e-003,-1.388583e-001
7.000000e+004,3.988835e+002,9.066259e-003,-1.380181e-001
7.000000e+004,3.977852e+002,9.094227e-003,-1.371916e-001
7.000000e+004,3.966666e+002,9.114775e-003,-1.361661e-001
7.000000e+004,3.954077e+002,9.137772e-003,-1.352284e-001
7.000000e+004,3.945028e+002,9.155093e-003,-1.345652e-001
7.000000e+004,3.934140e+002,9.173084e-003,-1.334793e-001
7.000000e+004,3.923686e+002,9.194489e-003,-1.328122e-001
7.000000e+004,3.913011e+002,9.210825e-003,-1.319972e-001
7.000000e+004,3.902829e+002,9.228013e-003,-1.313412e-001
7.000000e+004,3.893253e+002,9.244276e-003,-1.307320e-001
7.000000e+004,3.883911e+002,9.260496e-003,-1.300072e-001
7.000000e+004,3.874766e+002,9.274786e-003,-1.293893e-001
7.000000e+004,3.865002e+002,9.289525e-003,-1.287171e-001
7.000000e+004,3.856279e+002,9.304570e-003,-1.282407e-001
7.000000e+004,3.846161e+002,9.319525e-003,-1.276838e-001
7.000000e+004,3.836396e+002,9.336397e-003,-1.270173e-001
7.000000e+004,3.827156e+002,9.348024e-003,-1.265272e-001
7.000000e+004,3.817491e+002,9.362262e-003,-1.262105e-001
7.000000e+004,3.808405e+002,9.372406e-003,-1.259115e-001
7.000000e+004,3.797905e+002,9.393489e-003,-1.276351e-001
7.000000e+004,3.785669e+002,9.412898e-003,-1.268880e-001
7.000000e+004,3.774838e+002,9.431612e-003,-1.261933e-001
7.000000e+004,3.763329e+002,9.445617e-003,-1.253822e-001
7.000000e+004,3.752119e+002,9.462057e-003,-1.247024e-001
7.000000e+004,3.738831e+002,9.473864e-003,-1.238820e-001
7.000000e+004,3.727324e+002,9.486637e-003,-1.230898e-001
7.000000e+004,3.714611e+002,9.495918e-003,-1.222938e-001
7.000000e+004,3.703065e+002,9.501705e-003,-1.213068e-001
7.000000e+004,3.691784e+002,9.496432e-003,-1.204459e-001
7.000000e+004,3.681424e+002,9.501647e-003,-1.198890e-001
7.000000e+004,3.671613e+002,9.494621e-003,-1.191586e-001
7.000000e+004,3.663047e+002,9.489220e-003,-1.184540e-001
7.000000e+004,3.654468e+002,9.477428e-003,-1.179007e-001
7.000000e+004,3.646707e+002,9.463027e-003,-1.170878e-001
7.000000e+004,3.639782e+002,9.449789e-003,-1.166335e-001
7.000000e+004,3.632619e+002,9.429990e-003,-1.160072e-001
7.000000e+004,3.626888e+002,9.410542e-003,-1.155073e-001
7.000000e+004,3.617773e+002,9.373491e-003,-1.145838e-001
7.000000e+004,3.608654e+002,9.320936e-003,-1.137798e-001
7.000000e+004,3.597448e+002,9.249745e-003,-1.155257e-001
7.000000e+004,3.586573e+002,9.214344e-003,-1.144182e-001
7.000000e+004,3.574791e+002,9.107779e-003,-1.127846e-001
7.000000e+004,3.562733e+002,8.877343e-003,-1.098538e-001
7.000000e+004,3.550455e+002,8.446308e-003,-1.049098e-001
7.000000e+004,3.538968e+002,7.828460e-003,-9.771061e-002
7.000000e+004,3.526985e+002,6.770668e-003,-8.582544e-002
7.000000e+004,3.515411e+002,4.809717e-003,-5.312035e-002
7.000000e+004,3.504556e+002,3.391251e-003,-2.577610e-002
7.000000e+004,3.494359e+002,3.030950e-003,-1.346945e-002
7.000000e+004,3.483469e+002,3.002896e-003,-1.218147e-002
7.000000e+004,3.473908e+002,2.988942e-003,-1.087422e-002
7.000000e+004,3.464885e+002,2.981481e-003,-9.731110e-003
7.000000e+004,3.456340e+002,2.975140e-003,-8.939333e-003
7.000000e+004,3.448602e+002,2.966952e-003,-8.371664e-003
7.000000e+004,3.441850e+002,2.965550e-003,-7.702172e-003
7.000000e+004,3.435693e+002,2.960704e-003,-7.060822e-003
7.000000e+004,3.428028e+002,2.956680e-003,-6.564639e-003
7.000000e+004,3.418715e+002,2.953390e-003,-5.924709e-003
7.000000e+004,3.406714e+002,2.943541e-003,-7.245592e-003
7.000000e+004,3.396485e+002,2.942578e-003,-6.600744e-003
7.000000e+004,3.385129e+002,2.939749e-003,-6.472910e-003
7.000000e+004,3.373466e+002,2.942162e-003,-5.193946e-003
7.000000e+004,3.362289e+002,2.941111e-003,-4.550004e-003
7.000000e+004,3.350616e+002,2.942824e-003,-3.884778e-003
7.000000e+004,3.339202e+002,2.943314e-003,-3.011077e-003
7.000000e+004,3.328401e+002,2.943983e-003,-2.714948e-003
7.000000e+004,3.317958e+002,2.943530e-003,-1.767030e-003
7.000000e+004,3.308414e+002,2.945617e-003,-1.342021e-003
7.000000e+004,3.298342e+002,2.946418e-003,-6.155268e-004
7.000000e+004,3.289628e+002,2.948103e-003,-7.319119e-005
7.000000e+004,3.281070e+002,2.948212e-003,1.542150e-004
7.000000e+004,3.274245e+002,2.949896e-003,7.423664e-004
7.000000e+004,3.266706e+002,2.950512e-003,9.824095e-004
7.000000e+004,3.256690e+002,2.952567e-003,1.428992e-003
7.000000e+004,3.247683e+002,2.953178e-003,1.801128e-003
7.000000e+004,3.238584e+002,2.954199e-003,2.278178e-003
7.000000e+004,3.228191e+002,2.954665e-003,6.335096e-004
