Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
1.000000e+003,3.000034e+002,4.492341e-005,-2.028146e-002
1.000000e+003,3.011594e+002,4.484083e-005,-2.080627e-002
1.000000e+003,3.021485e+002,4.474737e-005,-2.146966e-002
1.000000e+003,3.031718e+002,4.464213e-005,-2.161333e-002
1.000000e+003,3.041388e+002,4.464341e-005,-2.378275e-002
1.000000e+003,3.051381e+002,4.457265e-005,-2.362829e-002
1.000000e+003,3.061222e+002,4.455642e-005,-2.374614e-002
1.000000e+003,3.071300e+002,4.446258e-005,-2.529071e-002
1.000000e+003,3.081093e+002,4.442814e-005,-2.572290e-002
1.000000e+003,3.091481e+002,4.437800e-005,-2.483481e-002
1.000000e+003,3.101279e+002,4.440554e-005,-2.611949e-002
1.000000e+003,3.111488e+002,4.432636e-005,-2.685920e-002
1.000000e+003,3.121249e+002,4.431162e-005,-2.697032e-002
1.000000e+003,3.131290e+002,4.424299e-005,-2.719779e-002
1.000000e+003,3.141516e+002,4.423402e-005,-2.776703e-002
1.000000e+003,3.151303e+002,4.419775e-005,-2.941396e-002
1.000000e+003,3.161293e+002,4.420477e-005,-2.965227e-002
1.000000e+003,3.171352e+002,4.414132e-005,-2.980408e-002
1.000000e+003,3.181259e+002,4.414320e-005,-2.945304e-002
1.000000e+003,3.191089e+002,4.407384e-005,-3.081480e-002
1.000000e+003,3.201392e+002,4.411222e-005,-3.103663e-002
1.000000e+003,3.211069e+002,4.409509e-005,-3.253625e-002
1.000000e+003,3.221284e+002,4.407466e-005,-3.245724e-002
1.000000e+003,3.231484e+002,4.406208e-005,-3.350879e-002
1.000000e+003,3.241190e+002,4.402740e-005,-3.379358e-002
1.000000e+003,3.251357e+002,4.404855e-005,-3.368151e-002
1.000000e+003,3.261232e+002,4.398010e-005,-3.437675e-002
1.000000e+003,3.271129e+002,4.396444e-005,-3.463250e-002
1.000000e+003,3.281540e+002,4.395701e-005,-3.629947e-002
1.000000e+003,3.291375e+002,4.394590e-005,-3.640521e-002
1.000000e+003,3.301379e+002,4.398461e-005,-3.740000e-002
1.000000e+003,3.311275e+002,4.397838e-005,-3.745522e-002
1.000000e+003,3.321079e+002,4.397430e-005,-3.816759e-002
1.000000e+003,3.331566e+002,4.400578e-005,-3.962215e-002
1.000000e+003,3.340985e+002,4.397917e-005,-4.002979e-002
1.000000e+003,3.351248e+002,4.398918e-005,-3.914307e-002
1.000000e+003,3.361371e+002,4.400402e-005,-3.883991e-002
1.000000e+003,3.371038e+002,4.401440e-005,-3.992973e-002
1.000000e+003,3.381245e+002,4.401501e-005,-4.078699e-002
1.000000e+003,3.391379e+002,4.404395e-005,-4.199673e-002
1.000000e+003,3.400976e+002,4.405370e-005,-4.225922e-002
1.000000e+003,3.411351e+002,4.408781e-005,-4.250012e-002
1.000000e+003,3.421091e+002,4.407470e-005,-4.342907e-002
1.000000e+003,3.431314e+002,4.415700e-005,-4.338014e-002
1.000000e+003,3.441365e+002,4.416326e-005,-4.416803e-002
1.000000e+003,3.451406e+002,4.421827e-005,-4.356298e-002
1.000000e+003,3.461317e+002,4.424455e-005,-4.570878e-002
1.000000e+003,3.471288e+002,4.429634e-005,-4.688207e-002
1.000000e+003,3.481514e+002,4.429279e-005,-4.600043e-002
1.000000e+003,3.491193e+002,4.436450e-005,-4.769567e-002
1.000000e+003,3.501273e+002,4.441164e-005,-4.733438e-002
1.000000e+003,3.511216e+002,4.446508e-005,-4.880422e-002
1.000000e+003,3.521368e+002,4.447628e-005,-4.872654e-002
1.000000e+003,3.531231e+002,4.454284e-005,-4.986298e-002
1.000000e+003,3.541405e+002,4.456355e-005,-4.931202e-002
1.000000e+003,3.551438e+002,4.467168e-005,-5.059735e-002
1.000000e+003,3.561378e+002,4.468225e-005,-5.030215e-002
1.000000e+003,3.571401e+002,4.481724e-005,-5.184814e-002
1.000000e+003,3.581510e+002,4.485678e-005,-5.216442e-002
1.000000e+003,3.591264e+002,4.492575e-005,-5.324220e-002
1.000000e+003,3.601335e+002,4.499167e-005,-5.309547e-002
1.000000e+003,3.611255e+002,4.508452e-005,-5.405322e-002
1.000000e+003,3.621286e+002,4.518116e-005,-5.485405e-002
1.000000e+003,3.631375e+002,4.526206e-005,-5.483835e-002
1.000000e+003,3.641149e+002,4.540123e-005,-5.661430e-002
1.000000e+003,3.651166e+002,4.547873e-005,-5.711592e-002
1.000000e+003,3.661593e+002,4.557717e-005,-5.758733e-002
1.000000e+003,3.671295e+002,4.569342e-005,-5.820680e-002
1.000000e+003,3.681240e+002,4.577546e-005,-5.795945e-002
1.000000e+003,3.691353e+002,4.590846e-005,-5.972464e-002
1.000000e+003,3.701192e+002,4.604440e-005,-6.036653e-002
1.000000e+003,3.711059e+002,4.615200e-005,-6.049333e-002
1.000000e+003,3.721595e+002,4.630879e-005,-6.077245e-002
1.000000e+003,3.731126e+002,4.645609e-005,-6.254472e-002
1.000000e+003,3.741188e+002,4.669565e-005,-6.295612e-002
1.000000e+003,3.751536e+002,4.693655e-005,-6.318909e-002
1.000000e+003,3.761227e+002,4.724476e-005,-6.538555e-002
1.000000e+003,3.771288e+002,4.778689e-005,-6.750743e-002
1.000000e+003,3.781144e+002,4.850175e-005,-6.872977e-002
1.000000e+003,3.791084e+002,4.996786e-005,-7.233104e-002
1.000000e+003,3.801195e+002,5.226632e-005,-7.748869e-002
1.000000e+003,3.811157e+002,5.544319e-005,-8.398795e-002
1.000000e+003,3.821380e+002,5.936340e-005,-9.003287e-002
1.000000e+003,3.830977e+002,6.341670e-005,-9.567860e-002
1.000000e+003,3.840982e+002,6.803234e-005,-1.012428e-001
1.000000e+003,3.851433e+002,7.320388e-005,-1.064957e-001
1.000000e+003,3.861248e+002,7.898211e-005,-1.115645e-001
1.000000e+003,3.871481e+002,8.586473e-005,-1.161749e-001
1.000000e+003,3.881189e+002,9.299311e-005,-1.208169e-001
1.000000e+003,3.890979e+002,9.977182e-005,-1.238894e-001
1.000000e+003,3.901377e+002,1.056872e-004,-1.263042e-001
1.000000e+003,3.911365e+002,1.102095e-004,-1.280308e-001
1.000000e+003,3.921564e+002,1.136698e-004,-1.292732e-001
1.000000e+003,3.931285e+002,1.160553e-004,-1.296546e-001
1.000000e+003,3.940994e+002,1.177276e-004,-1.300991e-001
1.000000e+003,3.951323e+002,1.190636e-004,-1.306326e-001
1.000000e+003,3.960907e+002,1.200363e-004,-1.306460e-001
1.000000e+003,3.971171e+002,1.207995e-004,-1.308955e-001
1.000000e+003,3.981578e+002,1.214690e-004,-1.315076e-001
1.000000e+003,3.991292e+002,1.218727e-004,-1.309641e-001
1.000000e+003,3.999849e+002,1.232353e-004,-1.295376e-001
1.000000e+003,4.000076e+002,1.236201e-004,-1.286478e-001
1.000000e+003,3.988361e+002,1.238870e-004,-1.275098e-001
1.000000e+003,3.978307e+002,1.240980e-004,-1.268308e-001
1.000000e+003,3.967436e+002,1.243428e-004,-1.261549e-001
1.000000e+003,3.956714e+002,1.246137e-004,-1.255400e-001
1.000000e+003,3.947115e+002,1.248457e-004,-1.247168e-001
1.000000e+003,3.936589e+002,1.250398e-004,-1.241237e-001
1.000000e+003,3.927560e+002,1.252688e-004,-1.238991e-001
1.000000e+003,3.917827e+002,1.254752e-004,-1.234605e-001
1.000000e+003,3.908206e+002,1.256973e-004,-1.232435e-001
1.000000e+003,3.899372e+002,1.259037e-004,-1.227727e-001
1.000000e+003,3.889141e+002,1.262911e-004,-1.238134e-001
1.000000e+003,3.878171e+002,1.265886e-004,-1.232912e-001
1.000000e+003,3.868145e+002,1.268296e-004,-1.229784e-001
1.000000e+003,3.857720e+002,1.269764e-004,-1.228481e-001
1.000000e+003,3.848282e+002,1.272921e-004,-1.218570e-001
1.000000e+003,3.838655e+002,1.274682e-004,-1.215868e-001
1.000000e+003,3.828988e+002,1.276902e-004,-1.214927e-001
1.000000e+003,3.819283e+002,1.278743e-004,-1.212241e-001
1.000000e+003,3.808867e+002,1.280761e-004,-1.208387e-001
1.000000e+003,3.798946e+002,1.282885e-004,-1.203344e-001
1.000000e+003,3.788441e+002,1.283872e-004,-1.200712e-001
1.000000e+003,3.778776e+002,1.285895e-004,-1.193833e-001
1.000000e+003,3.768645e+002,1.287464e-004,-1.192095e-001
1.000000e+003,3.758685e+002,1.289519e-004,-1.189919e-001
1.000000e+003,3.748723e+002,1.291131e-004,-1.186313e-001
1.000000e+003,3.738731e+002,1.291438e-004,-1.181279e-001
1.000000e+003,3.728767e+002,1.293556e-004,-1.178158e-001
1.000000e+003,3.718941e+002,1.293495e-004,-1.176905e-001
1.000000e+003,3.708420e+002,1.294767e-004,-1.169529e-001
1.000000e+003,3.698734e+002,1.295557e-004,-1.167812e-001
1.000000e+003,3.688909e+002,1.295923e-004,-1.163656e-001
1.000000e+003,3.678865e+002,1.296135e-004,-1.160108e-001
1.000000e+003,3.668714e+002,1.295849e-004,-1.156836e-001
1.000000e+003,3.658677e+002,1.294579e-004,-1.153426e-001
1.000000e+003,3.648938e+002,1.293816e-004,-1.149302e-001
1.000000e+003,3.638614e+002,1.292239e-004,-1.146464e-001
1.000000e+003,3.628615e+002,1.289477e-004,-1.141776e-001
1.000000e+003,3.618911e+002,1.286228e-004,-1.138277e-001
1.000000e+003,3.608579e+002,1.281111e-004,-1.134866e-001
