Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
7.000000e+004,3.999935e+002,6.393907e-003,-1.093909e-001
7.000000e+004,3.988253e+002,6.419130e-003,-1.084394e-001
7.000000e+004,3.977847e+002,6.430667e-003,-1.076481e-001
7.000000e+004,3.967202e+002,6.441455e-003,-1.068376e-001
7.000000e+004,3.956512e+002,6.453373e-003,-1.059854e-001
7.000000e+004,3.945368e+002,6.463659e-003,-1.050785e-001
7.000000e+004,3.935919e+002,6.475029e-003,-1.044422e-001
7.000000e+004,3.923894e+002,6.485807e-003,-1.036146e-001
7.000000e+004,3.914677e+002,6.494666e-003,-1.028775e-001
7.000000e+004,3.904206e+002,6.503057e-003,-1.021306e-001
7.000000e+004,3.895576e+002,6.509945e-003,-1.015619e-001
7.000000e+004,3.885914e+002,6.516844e-003,-1.008097e-001
7.000000e+004,3.876151e+002,6.523836e-003,-1.000687e-001
7.000000e+004,3.866649e+002,6.531293e-003,-9.948572e-002
7.000000e+004,3.855992e+002,6.537691e-003,-9.872378e-002
7.000000e+004,3.846802e+002,6.545911e-003,-9.811785e-002
7.000000e+004,3.836974e+002,6.555712e-003,-9.748176e-002
7.000000e+004,3.827256e+002,6.566022e-003,-9.701791e-002
7.000000e+004,3.818090e+002,6.576284e-003,-9.668790e-002
7.000000e+004,3.809205e+002,6.590815e-003,-9.669543e-002
7.000000e+004,3.797504e+002,6.644162e-003,-9.875885e-002
7.000000e+004,3.786458e+002,6.658191e-003,-9.819564e-002
7.000000e+004,3.775938e+002,6.670421e-003,-9.764014e-002
7.000000e+004,3.764249e+002,6.681412e-003,-9.702176e-002
7.000000e+004,3.754426e+002,6.689776e-003,-9.638175e-002
7.000000e+004,3.744715e+002,6.698231e-003,-9.572601e-002
7.000000e+004,3.733928e+002,6.707117e-003,-9.536305e-002
7.000000e+004,3.723962e+002,6.714053e-003,-9.462450e-002
7.000000e+004,3.713188e+002,6.719062e-003,-9.407771e-002
7.000000e+004,3.704611e+002,6.724238e-003,-9.346741e-002
7.000000e+004,3.695111e+002,6.727095e-003,-9.287976e-002
7.000000e+004,3.685277e+002,6.728210e-003,-9.234760e-002
7.000000e+004,3.675662e+002,6.729687e-003,-9.175062e-002
7.000000e+004,3.665286e+002,6.726683e-003,-9.116027e-002
7.000000e+004,3.656534e+002,6.723349e-003,-9.066382e-002
7.000000e+004,3.646780e+002,6.718119e-003,-9.001666e-002
7.000000e+004,3.636867e+002,6.708813e-003,-8.941373e-002
7.000000e+004,3.628123e+002,6.694077e-003,-8.890064e-002
7.000000e+004,3.619055e+002,6.678191e-003,-8.865541e-002
7.000000e+004,3.607516e+002,6.662236e-003,-9.023590e-002
7.000000e+004,3.596864e+002,6.635378e-003,-8.968978e-002
7.000000e+004,3.585371e+002,6.601639e-003,-8.887943e-002
7.000000e+004,3.575599e+002,6.554162e-003,-8.816298e-002
7.000000e+004,3.565423e+002,6.485617e-003,-8.718145e-002
7.000000e+004,3.553886e+002,6.356033e-003,-8.595850e-002
7.000000e+004,3.543787e+002,6.131277e-003,-8.490674e-002
7.000000e+004,3.533073e+002,5.487273e-003,-8.074363e-002
7.000000e+004,3.523922e+002,4.014084e-003,-5.896214e-002
7.000000e+004,3.514894e+002,2.658779e-003,-3.140390e-002
7.000000e+004,3.505101e+002,2.234717e-003,-1.576946e-002
7.000000e+004,3.495905e+002,2.208296e-003,-1.378408e-002
7.000000e+004,3.485808e+002,2.188244e-003,-1.225748e-002
7.000000e+004,3.477130e+002,2.174048e-003,-1.121200e-002
7.000000e+004,3.466232e+002,2.158518e-003,-9.521447e-003
7.000000e+004,3.457512e+002,2.148474e-003,-8.440274e-003
7.000000e+004,3.447862e+002,2.133915e-003,-6.899494e-003
7.000000e+004,3.438458e+002,2.122805e-003,-6.236163e-003
7.000000e+004,3.429931e+002,2.115257e-003,-6.474270e-003
7.000000e+004,3.417846e+002,2.103977e-003,-6.297234e-003
7.000000e+004,3.406686e+002,2.098610e-003,-5.178272e-003
7.000000e+004,3.396710e+002,2.095333e-003,-4.743890e-003
7.000000e+004,3.385900e+002,2.092467e-003,-3.602473e-003
7.000000e+004,3.375072e+002,2.090027e-003,-3.307084e-003
7.000000e+004,3.365809e+002,2.088446e-003,-2.516660e-003
7.000000e+004,3.354696e+002,2.086186e-003,-1.603075e-003
7.000000e+004,3.345770e+002,2.083664e-003,-9.783588e-004
7.000000e+004,3.336454e+002,2.082670e-003,-2.154027e-004
7.000000e+004,3.325427e+002,2.079700e-003,5.405289e-004
7.000000e+004,3.316231e+002,2.078359e-003,1.411389e-003
7.000000e+004,3.306021e+002,2.076755e-003,2.031654e-003
7.000000e+004,3.296548e+002,2.077186e-003,2.680697e-003
7.000000e+004,3.286487e+002,2.076503e-003,3.339614e-003
7.000000e+004,3.278010e+002,2.076490e-003,3.876518e-003
7.000000e+004,3.268111e+002,2.075342e-003,4.482314e-003
7.000000e+004,3.258655e+002,2.071956e-003,4.839970e-003
7.000000e+004,3.249594e+002,2.072269e-003,4.225296e-003
7.000000e+004,3.238188e+002,2.071165e-003,4.083200e-003
7.000000e+004,3.227135e+002,2.070908e-003,4.667887e-003
7.000000e+004,3.216902e+002,2.072348e-003,5.189160e-003
7.000000e+004,3.205635e+002,2.072602e-003,5.987637e-003
7.000000e+004,3.196196e+002,2.072240e-003,6.354782e-003
7.000000e+004,3.185405e+002,2.073980e-003,7.018528e-003
7.000000e+004,3.176211e+002,2.075653e-003,7.645821e-003
7.000000e+004,3.165344e+002,2.075200e-003,8.258237e-003
7.000000e+004,3.156254e+002,2.077310e-003,8.788873e-003
7.000000e+004,3.146414e+002,2.077716e-003,9.239975e-003
7.000000e+004,3.136368e+002,2.077953e-003,9.816175e-003
7.000000e+004,3.127163e+002,2.079070e-003,1.069897e-002
7.000000e+004,3.117554e+002,2.078832e-003,1.134976e-002
7.000000e+004,3.107302e+002,2.078815e-003,1.170406e-002
7.000000e+004,3.098089e+002,2.079288e-003,1.246679e-002
7.000000e+004,3.088652e+002,2.081327e-003,1.249985e-002
7.000000e+004,3.079200e+002,2.081433e-003,1.237235e-002
7.000000e+004,3.068677e+002,2.083410e-003,1.196993e-002
7.000000e+004,3.057050e+002,2.086017e-003,1.228940e-002
7.000000e+004,3.047182e+002,2.086982e-003,1.283506e-002
7.000000e+004,3.036783e+002,2.088603e-003,1.327692e-002
7.000000e+004,3.026314e+002,2.091031e-003,1.378814e-002
7.000000e+004,3.016675e+002,2.092300e-003,1.403624e-002
7.000000e+004,3.006194e+002,2.094945e-003,1.479921e-002
7.000000e+004,3.000778e+002,2.091668e-003,1.456809e-002
7.000000e+004,3.000424e+002,2.088888e-003,1.478188e-002
7.000000e+004,3.012165e+002,2.053965e-003,1.765428e-002
7.000000e+004,3.022421e+002,2.083229e-003,1.338490e-002
7.000000e+004,3.033350e+002,2.079131e-003,1.288613e-002
7.000000e+004,3.042775e+002,2.076298e-003,1.244159e-002
7.000000e+004,3.052889e+002,2.073445e-003,1.191964e-002
7.000000e+004,3.063334e+002,2.069644e-003,1.099414e-002
7.000000e+004,3.072699e+002,2.066702e-003,1.074178e-002
7.000000e+004,3.082444e+002,2.064691e-003,1.029287e-002
7.000000e+004,3.092352e+002,2.064099e-003,9.825005e-003
7.000000e+004,3.102422e+002,2.061193e-003,9.488404e-003
7.000000e+004,3.112142e+002,2.058524e-003,8.532784e-003
7.000000e+004,3.122466e+002,2.055960e-003,8.467202e-003
7.000000e+004,3.132029e+002,2.054585e-003,7.661082e-003
7.000000e+004,3.141988e+002,2.052117e-003,7.300619e-003
7.000000e+004,3.152604e+002,2.050079e-003,6.363835e-003
