[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1660911491.180000 8/19/2022, 2:18:11 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, FeTrz_Trt_medium
INFO, WEIGHT, 4.600
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, 55 nm
INFO, SEQUENCE FILE: FeTrz_HTvT_MCE_reverse.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1660911491.179,,7.000000e+004,3.999935e+002,6.393907e-003,4.116035e-008,-1.093909e-001,7.247151e-005,3,9.830674e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.590942e-002,0,,0,
1660911548.369,,7.000000e+004,3.988253e+002,6.419130e-003,1.191966e-006,-1.084394e-001,2.037747e-004,3,9.835500e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,2.704163e-001,0,,0,
1660911591.348,,7.000000e+004,3.977847e+002,6.430667e-003,1.499835e-006,-1.076481e-001,4.772077e-005,3,9.836035e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.460083e-001,0,,0,
1660911622.587,,7.000000e+004,3.967202e+002,6.441455e-003,2.824827e-006,-1.068376e-001,2.140428e-004,3,9.836038e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.591980e-001,0,,0,
1660911645.546,,7.000000e+004,3.956512e+002,6.453373e-003,2.992426e-006,-1.059854e-001,9.322883e-005,3,9.835188e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.585938e-001,0,,0,
1660911665.733,,7.000000e+004,3.945368e+002,6.463659e-003,3.373394e-006,-1.050785e-001,1.327520e-004,3,9.837282e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.567078e-001,0,,0,
1660911682.182,,7.000000e+004,3.935919e+002,6.475029e-003,2.045439e-006,-1.044422e-001,1.788027e-004,3,9.835620e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.789001e-001,0,,0,
1660911699.932,,7.000000e+004,3.923894e+002,6.485807e-003,2.528152e-006,-1.036146e-001,1.582562e-004,3,9.836277e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.994019e-001,0,,0,
1660911713.620,,7.000000e+004,3.914677e+002,6.494666e-003,1.624629e-006,-1.028775e-001,1.957879e-004,3,9.836102e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.200073e-001,0,,0,
1660911730.307,,7.000000e+004,3.904206e+002,6.503057e-003,3.688179e-006,-1.021306e-001,2.249167e-004,3,9.836118e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.156128e-001,0,,0,
1660911743.516,,7.000000e+004,3.895576e+002,6.509945e-003,2.252222e-006,-1.015619e-001,2.662206e-004,3,9.835008e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.627258e-001,0,,0,
1660911759.453,,7.000000e+004,3.885914e+002,6.516844e-003,2.028976e-006,-1.008097e-001,1.650312e-004,3,9.833817e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.731873e-001,0,,0,
1660911775.756,,7.000000e+004,3.876151e+002,6.523836e-003,2.542640e-006,-1.000687e-001,1.674652e-004,3,9.832524e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.060852e-001,0,,0,
1660911792.714,,7.000000e+004,3.866649e+002,6.531293e-003,2.197563e-006,-9.948572e-002,1.163148e-004,3,9.831976e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.782227e-001,0,,0,
1660911812.402,,7.000000e+004,3.855992e+002,6.537691e-003,2.083635e-006,-9.872378e-002,1.796931e-004,3,9.831914e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.383057e-001,0,,0,
1660911830.596,,7.000000e+004,3.846802e+002,6.545911e-003,4.286796e-006,-9.811785e-002,1.729601e-004,3,9.831716e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.390930e-001,0,,0,
1660911852.033,,7.000000e+004,3.836974e+002,6.555712e-003,1.759631e-006,-9.748176e-002,9.295487e-005,3,9.832088e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.006104e-001,0,,0,
1660911878.026,,7.000000e+004,3.827256e+002,6.566022e-003,2.946657e-006,-9.701791e-002,3.055646e-005,3,9.832840e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.150085e-001,0,,0,
1660911909.714,,7.000000e+004,3.818090e+002,6.576284e-003,3.171221e-006,-9.668790e-002,2.544621e-006,3,9.835446e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.420105e-001,0,,0,
1660911959.946,,7.000000e+004,3.809205e+002,6.590815e-003,2.084623e-006,-9.669543e-002,4.247349e-005,3,9.840710e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.292114e-001,0,,0,
1660912194.148,,7.000000e+004,3.797504e+002,6.644162e-003,2.165294e-006,-9.875885e-002,4.997562e-005,3,9.860007e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.082947e-001,0,,0,
1660912219.109,,7.000000e+004,3.786458e+002,6.658191e-003,2.707276e-006,-9.819564e-002,1.597260e-004,3,9.860847e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.377258e-001,0,,0,
1660912237.845,,7.000000e+004,3.775938e+002,6.670421e-003,4.123806e-006,-9.764014e-002,2.300112e-004,3,9.860639e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.492981e-001,0,,0,
1660912255.532,,7.000000e+004,3.764249e+002,6.681412e-003,2.056964e-006,-9.702176e-002,2.777214e-004,3,9.863192e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.277039e-001,0,,0,
1660912268.719,,7.000000e+004,3.754426e+002,6.689776e-003,3.148831e-006,-9.638175e-002,1.824010e-004,3,9.863986e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.201904e-001,0,,0,
1660912282.407,,7.000000e+004,3.744715e+002,6.698231e-003,4.246624e-006,-9.572601e-002,5.667697e-005,3,9.863912e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.291077e-001,0,,0,
1660912296.655,,7.000000e+004,3.733928e+002,6.707117e-003,3.369772e-006,-9.536305e-002,3.030885e-004,3,9.864905e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.557129e-001,0,,0,
1660912310.091,,7.000000e+004,3.723962e+002,6.714053e-003,3.025024e-006,-9.462450e-002,2.965716e-004,3,9.865958e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.294128e-001,0,,0,
1660912324.528,,7.000000e+004,3.713188e+002,6.719062e-003,3.362199e-006,-9.407771e-002,2.189634e-004,3,9.867438e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.571167e-001,0,,0,
1660912337.499,,7.000000e+004,3.704611e+002,6.724238e-003,7.583141e-007,-9.346741e-002,1.825960e-004,3,9.866821e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.639832e-001,0,,0,
1660912350.996,,7.000000e+004,3.695111e+002,6.727095e-003,1.503457e-006,-9.287976e-002,1.724860e-004,3,9.866091e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.153992e-001,0,,0,
1660912366.683,,7.000000e+004,3.685277e+002,6.728210e-003,1.432005e-006,-9.234760e-002,1.634771e-004,3,9.866637e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.669067e-001,0,,0,
1660912382.369,,7.000000e+004,3.675662e+002,6.729687e-003,1.027659e-006,-9.175062e-002,2.244372e-004,3,9.867131e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.192078e-001,0,,0,
1660912401.063,,7.000000e+004,3.665286e+002,6.726683e-003,1.781366e-007,-9.116027e-002,1.562963e-004,3,9.869008e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.716919e-001,0,,0,
1660912417.791,,7.000000e+004,3.656534e+002,6.723349e-003,1.416859e-006,-9.066382e-002,1.242542e-004,3,9.869244e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.036072e-001,0,,0,
1660912438.759,,7.000000e+004,3.646780e+002,6.718119e-003,3.779716e-006,-9.001666e-002,1.694830e-005,3,9.868975e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.465088e-001,0,,0,
1660912463.696,,7.000000e+004,3.636867e+002,6.708813e-003,1.532104e-006,-8.941373e-002,2.134738e-004,3,9.869424e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.476929e-001,0,,0,
1660912491.437,,7.000000e+004,3.628123e+002,6.694077e-003,1.201514e-006,-8.890064e-002,4.370101e-005,3,9.868755e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.287964e-001,0,,0,
1660912535.897,,7.000000e+004,3.619055e+002,6.678191e-003,7.553505e-007,-8.865541e-002,6.086532e-005,3,9.869329e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.477051e-001,0,,0,
1660912765.895,,7.000000e+004,3.607516e+002,6.662236e-003,6.337503e-006,-9.023590e-002,4.583470e-006,3,9.873686e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.666992e-001,0,,0,
1660912791.600,,7.000000e+004,3.596864e+002,6.635378e-003,7.509712e-006,-8.968978e-002,3.464998e-005,3,9.868882e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.310974e-001,0,,0,
1660912813.087,,7.000000e+004,3.585371e+002,6.601639e-003,1.059170e-005,-8.887943e-002,2.202805e-004,3,9.871681e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.447205e-001,0,,0,
1660912828.545,,7.000000e+004,3.575599e+002,6.554162e-003,1.554099e-005,-8.816298e-002,1.820322e-004,3,9.869200e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.301941e-001,0,,0,
1660912843.056,,7.000000e+004,3.565423e+002,6.485617e-003,2.967994e-005,-8.718145e-002,3.588962e-004,3,9.869871e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.974854e-001,0,,0,
1660912859.544,,7.000000e+004,3.553886e+002,6.356033e-003,4.511590e-005,-8.595850e-002,3.763503e-004,3,9.867008e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.833008e-001,0,,0,
1660912873.484,,7.000000e+004,3.543787e+002,6.131277e-003,1.064047e-004,-8.490674e-002,5.208613e-004,3,9.861373e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.072815e-001,0,,0,
1660912887.986,,7.000000e+004,3.533073e+002,5.487273e-003,3.388554e-004,-8.074363e-002,2.960974e-003,3,9.843504e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.821045e-001,0,,0,
1660912901.424,,7.000000e+004,3.523922e+002,4.014084e-003,5.704743e-004,-5.896214e-002,1.127799e-002,3,9.768800e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.577881e-001,0,,0,
1660912914.861,,7.000000e+004,3.514894e+002,2.658779e-003,3.142115e-004,-3.140390e-002,9.037419e-003,3,9.658914e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.233948e-001,0,,0,
1660912930.298,,7.000000e+004,3.505101e+002,2.234717e-003,1.623724e-005,-1.576946e-002,1.303510e-003,3,9.599161e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.381958e-001,0,,0,
1660912944.750,,7.000000e+004,3.495905e+002,2.208296e-003,5.278070e-006,-1.378408e-002,9.131082e-004,3,9.592853e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.571960e-001,0,,0,
1660912962.733,,7.000000e+004,3.485808e+002,2.188244e-003,4.941060e-006,-1.225748e-002,4.541152e-004,3,9.596306e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.628113e-001,0,,0,
1660912980.170,,7.000000e+004,3.477130e+002,2.174048e-003,3.113928e-006,-1.121200e-002,1.872696e-004,3,9.589553e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.914917e-001,0,,0,
