Field (Oe),Temperature (K),Long Moment (emu),Long Offset (cm)
7.000000e+004,3.999970e+002,1.345480e-002,-8.862163e-002
7.000000e+004,3.989028e+002,1.348829e-002,-8.764049e-002
7.000000e+004,3.977339e+002,1.352685e-002,-8.679491e-002
7.000000e+004,3.966124e+002,1.356011e-002,-8.582917e-002
7.000000e+004,3.954109e+002,1.359556e-002,-8.484732e-002
7.000000e+004,3.945280e+002,1.362199e-002,-8.423181e-002
7.000000e+004,3.932884e+002,1.365381e-002,-8.329821e-002
7.000000e+004,3.922376e+002,1.368709e-002,-8.267795e-002
7.000000e+004,3.910747e+002,1.371995e-002,-8.195877e-002
7.000000e+004,3.900546e+002,1.374711e-002,-8.119838e-002
7.000000e+004,3.889971e+002,1.377891e-002,-8.046144e-002
7.000000e+004,3.879363e+002,1.380802e-002,-7.991226e-002
7.000000e+004,3.869968e+002,1.383312e-002,-7.917079e-002
7.000000e+004,3.860982e+002,1.385851e-002,-7.872574e-002
7.000000e+004,3.852550e+002,1.388021e-002,-7.814269e-002
7.000000e+004,3.844575e+002,1.390297e-002,-7.766198e-002
7.000000e+004,3.835622e+002,1.392621e-002,-7.721330e-002
7.000000e+004,3.826978e+002,1.394593e-002,-7.683177e-002
7.000000e+004,3.817285e+002,1.395779e-002,-7.631850e-002
7.000000e+004,3.808141e+002,1.395579e-002,-7.590052e-002
7.000000e+004,3.799451e+002,1.395404e-002,-7.578844e-002
7.000000e+004,3.786479e+002,1.397678e-002,-7.708631e-002
7.000000e+004,3.775875e+002,1.400862e-002,-7.650535e-002
7.000000e+004,3.763615e+002,1.404877e-002,-7.570414e-002
7.000000e+004,3.753285e+002,1.408262e-002,-7.506016e-002
7.000000e+004,3.740357e+002,1.411953e-002,-7.435488e-002
7.000000e+004,3.728925e+002,1.415635e-002,-7.356481e-002
7.000000e+004,3.715893e+002,1.419414e-002,-7.285219e-002
7.000000e+004,3.705610e+002,1.423142e-002,-7.227645e-002
7.000000e+004,3.693544e+002,1.426310e-002,-7.162437e-002
7.000000e+004,3.683147e+002,1.429320e-002,-7.097833e-002
7.000000e+004,3.672891e+002,1.432228e-002,-7.030048e-002
7.000000e+004,3.662803e+002,1.435257e-002,-6.985657e-002
7.000000e+004,3.653714e+002,1.438185e-002,-6.910495e-002
7.000000e+004,3.644673e+002,1.439682e-002,-6.883167e-002
7.000000e+004,3.637169e+002,1.441635e-002,-6.832653e-002
7.000000e+004,3.630601e+002,1.446860e-002,-6.826043e-002
7.000000e+004,3.623659e+002,1.454340e-002,-6.838281e-002
7.000000e+004,3.617747e+002,1.456986e-002,-6.834804e-002
7.000000e+004,3.608261e+002,1.459659e-002,-6.805792e-002
7.000000e+004,3.597109e+002,1.466682e-002,-7.093856e-002
7.000000e+004,3.586185e+002,1.469151e-002,-7.040817e-002
7.000000e+004,3.574637e+002,1.471257e-002,-6.995230e-002
7.000000e+004,3.564110e+002,1.471910e-002,-6.941779e-002
7.000000e+004,3.551468e+002,1.472149e-002,-6.870614e-002
7.000000e+004,3.539221e+002,1.471407e-002,-6.784882e-002
7.000000e+004,3.526312e+002,1.468306e-002,-6.715177e-002
7.000000e+004,3.514890e+002,1.461356e-002,-6.650098e-002
7.000000e+004,3.504407e+002,1.431517e-002,-6.674197e-002
7.000000e+004,3.494604e+002,1.369829e-002,-6.709809e-002
7.000000e+004,3.483469e+002,1.251980e-002,-6.779729e-002
7.000000e+004,3.473764e+002,1.088316e-002,-6.795166e-002
7.000000e+004,3.465438e+002,9.224471e-003,-6.732160e-002
7.000000e+004,3.456532e+002,7.381970e-003,-6.230958e-002
7.000000e+004,3.448888e+002,5.777523e-003,-5.078035e-002
7.000000e+004,3.439905e+002,4.192870e-003,-2.601350e-002
7.000000e+004,3.433826e+002,3.966706e-003,-1.993469e-002
