[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1656962375.570000 7/4/2022, 9:19:35 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, FeTrz_Trt_small
INFO, WEIGHT, 7.710
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, w torebce papierowej, na drucie Cu
INFO, SEQUENCE FILE: FeTrz_HTvT_MCE_reverse.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1656962375.570,,7.000000e+004,3.999970e+002,1.345480e-002,1.000329e-006,-8.862163e-002,9.662165e-006,3,9.871591e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.300049e-002,0,,0,
1656962452.027,,7.000000e+004,3.989028e+002,1.348829e-002,4.678300e-006,-8.764049e-002,1.467501e-004,3,9.873558e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.931763e-001,0,,0,
1656962505.218,,7.000000e+004,3.977339e+002,1.352685e-002,5.859070e-006,-8.679491e-002,1.750358e-004,3,9.874048e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.483948e-001,0,,0,
1656962531.473,,7.000000e+004,3.966124e+002,1.356011e-002,7.928876e-006,-8.582917e-002,1.986223e-004,3,9.873532e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.884155e-001,0,,0,
1656962552.410,,7.000000e+004,3.954109e+002,1.359556e-002,1.008561e-005,-8.484732e-002,1.736398e-004,3,9.873973e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.863159e-001,0,,0,
1656962566.894,,7.000000e+004,3.945280e+002,1.362199e-002,9.928875e-006,-8.423181e-002,2.769575e-004,3,9.872396e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.457947e-001,0,,0,
1656962582.899,,7.000000e+004,3.932884e+002,1.365381e-002,1.255515e-005,-8.329821e-002,1.688192e-004,3,9.872727e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.159241e-001,0,,0,
1656962597.587,,7.000000e+004,3.922376e+002,1.368709e-002,1.198288e-005,-8.267795e-002,3.271597e-004,3,9.872967e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.107971e-001,0,,0,
1656962612.788,,7.000000e+004,3.910747e+002,1.371995e-002,1.035891e-005,-8.195877e-002,2.678169e-004,3,9.874328e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.926086e-001,0,,0,
1656962626.333,,7.000000e+004,3.900546e+002,1.374711e-002,9.231477e-006,-8.119838e-002,2.501363e-004,3,9.872519e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.880005e-001,0,,0,
1656962642.330,,7.000000e+004,3.889971e+002,1.377891e-002,8.605860e-006,-8.046144e-002,9.910831e-005,3,9.873461e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.320068e-001,0,,0,
1656962657.018,,7.000000e+004,3.879363e+002,1.380802e-002,7.620677e-006,-7.991226e-002,2.482713e-004,3,9.872404e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.070923e-001,0,,0,
1656962672.012,,7.000000e+004,3.869968e+002,1.383312e-002,7.816923e-006,-7.917079e-002,3.049641e-004,3,9.872926e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.368835e-001,0,,0,
1656962686.473,,7.000000e+004,3.860982e+002,1.385851e-002,6.596640e-006,-7.872574e-002,2.779848e-004,3,9.873151e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.485962e-001,0,,0,
1656962699.911,,7.000000e+004,3.852550e+002,1.388021e-002,8.744154e-006,-7.814269e-002,2.920144e-004,3,9.872448e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.932739e-001,0,,0,
1656962714.613,,7.000000e+004,3.844575e+002,1.390297e-002,7.988145e-006,-7.766198e-002,2.278669e-004,3,9.873041e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.701050e-001,0,,0,
1656962732.309,,7.000000e+004,3.835622e+002,1.392621e-002,9.245307e-006,-7.721330e-002,1.483622e-004,3,9.873942e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.192932e-001,0,,0,
1656962750.247,,7.000000e+004,3.826978e+002,1.394593e-002,4.381297e-006,-7.683177e-002,4.819492e-005,3,9.873407e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,5.335083e-001,0,,0,
1656962774.996,,7.000000e+004,3.817285e+002,1.395779e-002,4.113269e-006,-7.631850e-002,1.647573e-004,3,9.871974e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,4.363098e-001,0,,0,
1656962805.449,,7.000000e+004,3.808141e+002,1.395579e-002,2.832507e-008,-7.590052e-002,2.234468e-004,3,9.868789e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,3.050232e-001,0,,0,
1656962858.903,,7.000000e+004,3.799451e+002,1.395404e-002,9.272306e-007,-7.578844e-002,8.967269e-005,3,9.866146e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.051025e-001,0,,0,
1656963137.899,,7.000000e+004,3.786479e+002,1.397678e-002,9.920314e-006,-7.708631e-002,1.224945e-004,3,9.865803e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,6.838989e-001,0,,0,
1656963156.854,,7.000000e+004,3.775875e+002,1.400862e-002,1.156733e-005,-7.650535e-002,2.740230e-004,3,9.864768e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,7.376099e-001,0,,0,
1656963174.791,,7.000000e+004,3.763615e+002,1.404877e-002,1.266908e-005,-7.570414e-002,9.265458e-005,3,9.867448e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,8.816833e-001,0,,0,
1656963188.736,,7.000000e+004,3.753285e+002,1.408262e-002,1.299308e-005,-7.506016e-002,8.145405e-005,3,9.867389e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,9.674988e-001,0,,0,
1656963204.675,,7.000000e+004,3.740357e+002,1.411953e-002,9.517944e-006,-7.435488e-002,2.178465e-004,3,9.867435e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.005676e+000,0,,0,
1656963218.362,,7.000000e+004,3.728925e+002,1.415635e-002,1.369838e-005,-7.356481e-002,2.204702e-004,3,9.868393e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,1.000000e+000,2,2,1.111389e+000,0,,0,
